participant_id,condition,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,conf_radio.response,conf_radio.rt,is_repeat,vigilance_pressed,vigilance_correct
sub92_AB,AB,38.0,frames/Vid38_EM_T.png,frames/Vid38_L.png,r,1.0,6.8770386000105646,4.0,6.795570799993584,,,
sub92_AB,AB,10.0,frames/Vid10_BB_T.png,frames/Vid10_L.png,r,1.0,4.2780417000176385,5.0,1.9316234000143595,,,
sub92_AB,AB,22.0,frames/Vid22_EM_T.png,frames/Vid22_L.png,r,1.0,2.971854799980065,5.0,1.8483291000011377,,,
sub92_AB,AB,8.0,frames/Vid8_BB_T.png,frames/Vid8_L.png,l,1.0,8.829773999983445,5.0,2.8154020000074524,,,
sub92_AB,AB,6.0,frames/Vid6_BB_T.png,frames/Vid6_L.png,l,1.0,5.685533599986229,5.0,1.9494827000016812,,,
sub92_AB,AB,33.0,frames/Vid33_BB_T.png,frames/Vid33_L.png,r,1.0,4.825608799990732,5.0,1.679570500011323,,,
sub92_AB,AB,37.0,frames/Vid37_BB_T.png,frames/Vid37_L.png,l,1.0,3.190303099981975,5.0,1.4495462000195405,,,
sub92_AB,AB,15.0,frames/Vid15_BB_T.png,frames/Vid15_L.png,r,1.0,3.504722300014691,4.0,1.3984446999966167,,,
sub92_AB,AB,18.0,frames/Vid18_EM_T.png,frames/Vid18_L.png,r,1.0,4.950136800005566,3.0,1.931634500011569,,,
sub92_AB,AB,29.0,frames/Vid29_BB_T.png,frames/Vid29_L.png,r,1.0,6.621220999979414,3.0,1.1639213000016753,,,
sub92_AB,AB,13.0,frames/Vid13_BB_T.png,frames/Vid13_L.png,l,1.0,5.073408000025665,4.0,2.4153761000197846,,,
sub92_AB,AB,9.0,frames/Vid9_EM_T.png,frames/Vid9_L.png,l,1.0,3.888434600026813,3.0,1.464538200001698,,,
sub92_AB,AB,11.0,frames/Vid11_EM_T.png,frames/Vid11_L.png,l,1.0,3.015658699994674,5.0,1.8972653000091668,,,
sub92_AB,AB,35.0,frames/Vid35_EM_T.png,frames/Vid35_L.png,r,1.0,4.15203970001312,5.0,1.799452899984317,,,
sub92_AB,AB,32.0,frames/Vid32_EM_T.png,frames/Vid32_L.png,l,1.0,3.595908099989174,5.0,2.0988387999823317,,,
sub92_AB,AB,7.0,frames/Vid7_EM_T.png,frames/Vid7_L.png,l,1.0,4.980515299976105,5.0,1.2469591999833938,,,
sub92_AB,AB,5.0,frames/Vid5_EM_T.png,frames/Vid5_L.png,l,0.0,7.1743561000039335,3.0,1.997242200013716,,,
sub92_AB,AB,24.0,frames/Vid24_BB_T.png,frames/Vid24_L.png,l,1.0,3.3014828999876045,5.0,1.9642840000160504,,,
sub92_AB,AB,3.0,frames/Vid3_BB_T.png,frames/Vid3_L.png,l,1.0,4.385217400005786,5.0,1.6988044999889098,,,
sub92_AB,AB,28.0,frames/Vid28_EM_T.png,frames/Vid28_L.png,l,1.0,3.0482472000003327,5.0,2.0478744999854825,,,
sub92_AB,AB,27.0,frames/Vid27_BB_T.png,frames/Vid27_L.png,l,1.0,5.604436499997973,3.0,2.447499500005506,,,
sub92_AB,AB,1.0,frames/Vid1_EM_T.png,frames/Vid1_L.png,r,1.0,4.815712400013581,4.0,1.197980800003279,,,
sub92_AB,AB,12.0,frames/Vid12_EM_T.png,frames/Vid12_L.png,l,1.0,2.848477499996079,5.0,2.5126523000071757,,,
sub92_AB,AB,30.0,frames/Vid30_EM_T.png,frames/Vid30_L.png,l,1.0,10.151781599997776,5.0,1.7489187000028323,,,
sub92_AB,AB,34.0,frames/Vid34_BB_T.png,frames/Vid34_L.png,r,1.0,6.093739400006598,2.0,1.3319418000173755,,,
sub92_AB,AB,21.0,frames/Vid21_BB_T.png,frames/Vid21_L.png,l,1.0,3.3140202999929897,5.0,1.6140055000141729,,,
sub92_AB,AB,23.0,frames/Vid23_EM_T.png,frames/Vid23_L.png,r,1.0,1.978520100004971,5.0,1.279468699998688,,,
sub92_AB,AB,25.0,frames/Vid25_BB_T.png,frames/Vid25_L.png,l,1.0,5.6383981999824755,4.0,2.813784199999646,,,
sub92_AB,AB,4.0,frames/Vid4_EM_T.png,frames/Vid4_L.png,l,0.0,13.271672000002582,4.0,1.79708990000654,,,
sub92_AB,AB,19.0,frames/Vid19_BB_T.png,frames/Vid19_L.png,r,1.0,3.3668463000212796,4.0,1.0142552999895995,,,
sub92_AB,AB,14.0,frames/Vid14_BB_T.png,frames/Vid14_L.png,l,1.0,4.256358099984936,2.0,2.0643541000026744,,,
sub92_AB,AB,17.0,frames/Vid17_BB_T.png,frames/Vid17_L.png,l,1.0,5.534511299978476,2.0,1.2140068000007886,,,
sub92_AB,AB,36.0,frames/Vid36_BB_T.png,frames/Vid36_L.png,r,1.0,2.6555274999991525,4.0,1.6488856000069063,,,
sub92_AB,AB,16.0,frames/Vid16_EM_T.png,frames/Vid16_L.png,l,0.0,6.097016199986683,1.0,2.330881500005489,,,
sub92_AB,AB,26.0,frames/Vid26_EM_T.png,frames/Vid26_L.png,r,1.0,2.923654899990652,5.0,1.5639713999989908,,,
sub92_AB,AB,20.0,frames/Vid20_EM_T.png,frames/Vid20_L.png,l,1.0,4.0549863999767695,5.0,1.5645627000194509,,,
sub92_AB,AB,2.0,frames/Vid2_BB_T.png,frames/Vid2_L.png,l,1.0,4.844738900021184,5.0,2.330909700016491,,,
sub92_AB,AB,31.0,frames/Vid31_EM_T.png,frames/Vid31_L.png,l,1.0,2.967205799999647,5.0,1.5973857999779284,,,
sub92_AB,AB,39.0,frames/Vid39_BB_T.png,frames/Vid39_L.png,r,1.0,4.242287700006273,3.0,2.565102599997772,,,
sub92_AB,AB,40.0,frames/Vid40_EM_T.png,frames/Vid40_L.png,l,0.0,5.055420199991204,2.0,2.3666687999793794,,,
