path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.007316300005186349,0.009688000005553477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub138_AB,001,2026-02-02_19h38.24.822,recognitionstage,,2025.1.1,59.58080139616623,2026-02-02 19h38.53.484419 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009709699996165,0.026437299995450303,0.026437299995450303,7.178822100002435,space,7.136245999994571,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub138_AB,001,2026-02-02_19h38.24.822,recognitionstage,,2025.1.1,59.58080139616623,2026-02-02 19h38.53.484419 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1788989000051515,7.195638499993947,7.195638499993947,16.863453600002686,space,9.66319539998949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub138_AB,001,2026-02-02_19h38.24.822,recognitionstage,,2025.1.1,59.58080139616623,2026-02-02 19h38.53.484419 +0530,
abrupt_videos\abrupt_15.mp4,29,0,44,44,0,,,,,,,,,,0,44,44,16,,,,,1497.1585926999978,,,,,,,,,,,,,,,,,,,,,,,,1497.1064556000056,1497.1585926999978,1497.1585926999978,1526.6246780999936,1526.4774140999943,None,0,1,1526.6128763000015,1526.6246780999936,1529.1102381999954,1529.1260981999949,2.481189899990568,None,1529.1102978999988,1529.1260981999949,1529.1260981999949,1552.0113612999994,space,22.884059600008186,None,,,,,,,,,,,,,,,,,,,,,,,,,sub138_AB,001,2026-02-02_19h38.24.822,recognitionstage,,2025.1.1,59.58080139616623,2026-02-02 19h38.53.484419 +0530,
,,,0,0,0,2,frames\Vid2_BB_T.png,frames\Vid2_L.png,['l'],0,[4.799864400003571],[None],4,3.0824853999947663,,,,,0,0,0,1,1552.0743913000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552.0592991000012,1552.0743913000042,1552.0743913000042,1552.0743913000042,1552.0743913000042,1552.0743913000042,1552.0743913000042,1556.8769179999945,['l'],0,[4.799864400003571],[None],1556.877761900003,1556.8924186000077,1556.8924186000077,1556.8924186000077,1559.9764530999964,4,3.0824853999947663,4,3.0824853999947663,,,,sub138_AB,001,2026-02-02_19h38.24.822,recognitionstage,,2025.1.1,59.58080139616623,2026-02-02 19h38.53.484419 +0530,
,,,1,1,0,20,frames\Vid20_EM_T.png,frames\Vid20_L.png,['r'],1,[3.057931200004532],[None],5,2.016151899995748,,,,,0,1,1,19,1560.0241383999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560.0036235000007,1560.0241383999964,1560.0241383999964,1560.0241383999964,1560.0241383999964,1560.0241383999964,1560.0241383999964,1563.093612800003,['r'],1,[3.057931200004532],[None],1563.0944541000063,1563.1091670000023,1563.1091670000023,1563.1091670000023,1565.1258628000069,5,2.016151899995748,5,2.016151899995748,,,,sub138_AB,001,2026-02-02_19h38.24.822,recognitionstage,,2025.1.1,59.58080139616623,2026-02-02 19h38.53.484419 +0530,
,,,2,2,0,40,frames\Vid40_EM_T.png,frames\Vid40_L.png,['r'],1,[2.8181124000111595],[None],5,2.0994520999956876,,,,,0,2,2,39,1565.1440773000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565.1332894999941,1565.1440773000068,1565.1440773000068,1565.1440773000068,1565.1440773000068,1565.1440773000068,1565.1440773000068,1567.9775636999984,['r'],1,[2.8181124000111595],[None],1567.9783642999973,1567.9920082000026,1567.9920082000026,1567.9920082000026,1570.0924960999982,5,2.0994520999956876,5,2.0994520999956876,,,,sub138_AB,001,2026-02-02_19h38.24.822,recognitionstage,,2025.1.1,59.58080139616623,2026-02-02 19h38.53.484419 +0530,
,,,3,3,0,24,frames\Vid24_BB_T.png,frames\Vid24_L.png,['r'],0,[2.4370226000028197],[None],5,0.9813600000052247,,,,,0,3,3,23,1570.1251469999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570.1045572000003,1570.1251469999988,1570.1251469999988,1570.1251469999988,1570.1251469999988,1570.1251469999988,1570.1251469999988,1572.5777538999973,['r'],0,[2.4370226000028197],[None],1572.5787132999976,1572.5918495000078,1572.5918495000078,1572.5918495000078,1573.5767304000037,5,0.9813600000052247,5,0.9813600000052247,,,,sub138_AB,001,2026-02-02_19h38.24.822,recognitionstage,,2025.1.1,59.58080139616623,2026-02-02 19h38.53.484419 +0530,
,,,4,4,0,21,frames\Vid21_BB_T.png,frames\Vid21_L.png,['r'],1,[1.9455133000010392],[None],5,1.5801505999988876,,,,,0,4,4,20,1573.608770699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573.5909916999954,1573.608770699997,1573.608770699997,1573.608770699997,1573.608770699997,1573.608770699997,1573.608770699997,1575.5616560000053,['r'],1,[1.9455133000010392],[None],1575.5628963000054,1575.575241700004,1575.575241700004,1575.575241700004,1577.1602673000016,5,1.5801505999988876,5,1.5801505999988876,,,,sub138_AB,001,2026-02-02_19h38.24.822,recognitionstage,,2025.1.1,59.58080139616623,2026-02-02 19h38.53.484419 +0530,
,,,5,5,0,23,frames\Vid23_EM_T.png,frames\Vid23_L.png,['r'],1,[6.433979800000088],[None],5,1.1489340999978594,,,,,0,5,5,22,1577.1921547999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577.175533600006,1577.1921547999955,1577.1921547999955,1577.1921547999955,1577.1921547999955,1577.1921547999955,1577.1921547999955,1583.6267919999955,['r'],1,[6.433979800000088],[None],1583.6275939000043,1583.6424105000042,1583.6424105000042,1583.6424105000042,1584.793004399995,5,1.1489340999978594,5,1.1489340999978594,,,,sub138_AB,001,2026-02-02_19h38.24.822,recognitionstage,,2025.1.1,59.58080139616623,2026-02-02 19h38.53.484419 +0530,
,,,6,6,0,27,frames\Vid27_BB_T.png,frames\Vid27_L.png,['l'],1,[4.463223399987328],[None],3,2.3800740000006044,,,,,0,6,6,26,1584.8110912999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584.802460100007,1584.8110912999982,1584.8110912999982,1584.8110912999982,1584.8110912999982,1584.8110912999982,1584.8110912999982,1589.2790760000062,['l'],1,[4.463223399987328],[None],1589.2804191000032,1589.3068987000006,1589.3068987000006,1589.3068987000006,1591.6761530000076,3,2.3800740000006044,3,2.3800740000006044,,,,sub138_AB,001,2026-02-02_19h38.24.822,recognitionstage,,2025.1.1,59.58080139616623,2026-02-02 19h38.53.484419 +0530,
