path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,text.stopped,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.006633500001044013,0.00902950000090641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub24_AB,001,2026-01-18_18h04.00.527,recognitionstage,,2025.1.1,60.108507878506394,2026-01-18 18h08.59.640287 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009052599998540245,0.025730400000611553,0.025730400000611553,13.310182500001247,space,13.278246099998796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub24_AB,001,2026-01-18_18h04.00.527,recognitionstage,,2025.1.1,60.108507878506394,2026-01-18 18h08.59.640287 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.310240899998462,13.326691300000675,13.326691300000675,27.911056299999473,space,14.577413799997885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub24_AB,001,2026-01-18_18h04.00.527,recognitionstage,,2025.1.1,60.108507878506394,2026-01-18 18h08.59.640287 +0530,
abrupt_videos\abrupt_8.mp4,24,0,44,44,0,,,,,,,,,,0,44,44,9,,,,,1518.1755941999982,,,,,,,,,,,,,,,,,,,,,,,,1518.1297669000014,1518.1755941999982,1518.1755941999982,1543.2082472000002,1543.065881999999,None,0,1,1543.2018852,1543.2082472000002,1545.6948979000008,7.002437399998598,None,1545.7098875999982,1545.6949765999998,1545.7098875999982,1545.7098875999982,1582.1439136000008,space,36.41811149999921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub24_AB,001,2026-01-18_18h04.00.527,recognitionstage,,2025.1.1,60.108507878506394,2026-01-18 18h08.59.640287 +0530,
,,,0,0,0,10,frames\Vid10_BB_T.png,frames\Vid10_L.png,['r'],1,[13.375871199998073],[None],5,18.1810536999983,,,,,0,0,0,9,1582.208118999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582.193972500001,1582.208118999999,1582.208118999999,1582.208118999999,1582.208118999999,1582.208118999999,1582.208118999999,1595.5949733999987,['r'],1,[13.375871199998073],[None],1595.5959793000002,1595.6237244000004,1595.6237244000004,1595.6237244000004,1613.7925539999997,5,18.1810536999983,5,18.1810536999983,,,,,,sub24_AB,001,2026-01-18_18h04.00.527,recognitionstage,,2025.1.1,60.108507878506394,2026-01-18 18h08.59.640287 +0530,
,,,1,1,0,17,frames\Vid17_BB_T.png,frames\Vid17_L.png,['l'],1,[8.845953200001532],[None],2,3.0647844999984954,,,,,0,1,1,16,1613.857963800001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613.8401941999982,1613.857963800001,1613.857963800001,1613.857963800001,1613.857963800001,1613.857963800001,1613.857963800001,1622.7111994000006,['l'],1,[8.845953200001532],[None],1622.7119552000004,1622.7255038000003,1622.7255038000003,1622.7255038000003,1625.7925068000004,2,3.0647844999984954,2,3.0647844999984954,,,,,,sub24_AB,001,2026-01-18_18h04.00.527,recognitionstage,,2025.1.1,60.108507878506394,2026-01-18 18h08.59.640287 +0530,
,,,2,2,0,5,frames\Vid5_EM_T.png,frames\Vid5_L.png,['r'],1,[5.139849200000754],[None],4,1.7472151000001759,,,,,0,2,2,4,1625.8439867999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625.8232204999986,1625.8439867999987,1625.8439867999987,1625.8439867999987,1625.8439867999987,1625.8439867999987,1625.8439867999987,1630.9948183999986,['r'],1,[5.139849200000754],[None],1630.9958861999985,1631.0087563000016,1631.0087563000016,1631.0087563000016,1632.7598338999996,4,1.7472151000001759,4,1.7472151000001759,,,,,,sub24_AB,001,2026-01-18_18h04.00.527,recognitionstage,,2025.1.1,60.108507878506394,2026-01-18 18h08.59.640287 +0530,
,,,3,3,0,22,frames\Vid22_EM_T.png,frames\Vid22_L.png,['l'],0,[17.48557719999735],[None],4,1.8819929000019329,,,,,0,3,3,21,1632.7943317999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632.7725089000014,1632.7943317999998,1632.7943317999998,1632.7943317999998,1632.7943317999998,1632.7943317999998,1632.7943317999998,1650.2943177999987,['l'],0,[17.48557719999735],[None],1650.2952681999996,1650.3092494999983,1650.3092494999983,1650.3092494999983,1652.1927485999986,4,1.8819929000019329,4,1.8819929000019329,,,,,,sub24_AB,001,2026-01-18_18h04.00.527,recognitionstage,,2025.1.1,60.108507878506394,2026-01-18 18h08.59.640287 +0530,
,,,4,4,0,7,frames\Vid7_EM_T.png,frames\Vid7_L.png,['l'],0,[4.156373100002384],[None],5,1.7325901000003796,,,,,0,4,4,6,1652.259505099999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652.2367458000008,1652.259505099999,1652.259505099999,1652.259505099999,1652.259505099999,1652.259505099999,1652.259505099999,1656.427727899998,['l'],0,[4.156373100002384],[None],1656.428818299999,1656.4423325999996,1656.4423325999996,1656.4423325999996,1658.1759668000013,5,1.7325901000003796,5,1.7325901000003796,,,,,,sub24_AB,001,2026-01-18_18h04.00.527,recognitionstage,,2025.1.1,60.108507878506394,2026-01-18 18h08.59.640287 +0530,
,,,5,5,0,8,frames\Vid8_BB_T.png,frames\Vid8_L.png,['r'],1,[6.443009999999049],[None],5,1.4143539999968198,,,,,0,5,5,7,1658.2289898999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658.2158815000003,1658.2289898999989,1658.2289898999989,1658.2289898999989,1658.2289898999989,1658.2289898999989,1658.2289898999989,1664.6777595999993,['r'],1,[6.443009999999049],[None],1664.6786250000005,1664.692061499998,1664.692061499998,1664.692061499998,1666.1098542,5,1.4143539999968198,5,1.4143539999968198,,,,,,sub24_AB,001,2026-01-18_18h04.00.527,recognitionstage,,2025.1.1,60.108507878506394,2026-01-18 18h08.59.640287 +0530,
