path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.013613199989777058,0.07828049999079667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub86_NB,001,2026-01-29_15h06.47.173,recognitionstage,,2025.1.1,60.09727344938952,2026-01-29 15h08.39.285854 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07830910000484437,0.09729939998942427,0.09729939998942427,8.61944599999697,space,8.519631100003608,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub86_NB,001,2026-01-29_15h06.47.173,recognitionstage,,2025.1.1,60.09727344938952,2026-01-29 15h08.39.285854 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.619512700010091,8.632307199994102,8.632307199994102,18.735653300012928,space,10.096659000002546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub86_NB,001,2026-01-29_15h06.47.173,recognitionstage,,2025.1.1,60.09727344938952,2026-01-29 15h08.39.285854 +0530,
Trimmed_videos/natural_39.mp4,48,0,44,44,0,,,,,,,,,,0,44,44,43,,,,,1504.5990480000037,,,,,,,,,,,,,,,,,,,,,,,,1504.554426000017,1504.5990480000037,1504.5990480000037,1553.3319266999897,1553.190834900015,None,0,1,1553.326140499994,1553.3319266999897,1555.8181790999952,1555.8326513000065,7.937326899991604,None,1555.8182544000156,1555.8326513000065,1555.8326513000065,1579.217625499994,space,23.376786700013326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub86_NB,001,2026-01-29_15h06.47.173,recognitionstage,,2025.1.1,60.09727344938952,2026-01-29 15h08.39.285854 +0530,
,,,0,0,0,12,frames\Vid12_EM_T.png,frames\Vid12_L.png,['l'],1,[2.8705569000157993],[None],4,8.431123400019715,,,,,0,0,0,11,1579.2984186999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.2847309999925,1579.2984186999965,1579.2984186999965,1579.2984186999965,1579.2984186999965,1579.2984186999965,1579.2984186999965,1582.1849911999889,['l'],1,[2.8705569000157993],[None],1582.186528899998,1582.2143556000083,1582.2143556000083,1582.2143556000083,1590.6339122999925,4,8.431123400019715,4,8.431123400019715,,,,,,sub86_NB,001,2026-01-29_15h06.47.173,recognitionstage,,2025.1.1,60.09727344938952,2026-01-29 15h08.39.285854 +0530,
,,,1,1,0,21,frames\Vid21_BB_T.png,frames\Vid21_L.png,['l'],1,[2.846987099997932],[None],5,5.562378500006162,,,,,0,1,1,20,1590.6982803000137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590.6792806000158,1590.6982803000137,1590.6982803000137,1590.6982803000137,1590.6982803000137,1590.6982803000137,1590.6982803000137,1593.553153100016,['l'],1,[2.846987099997932],[None],1593.5548710000003,1593.581024300016,1593.581024300016,1593.581024300016,1599.1344675,5,5.562378500006162,5,5.562378500006162,,,,,,sub86_NB,001,2026-01-29_15h06.47.173,recognitionstage,,2025.1.1,60.09727344938952,2026-01-29 15h08.39.285854 +0530,
,,,2,2,0,4,frames\Vid4_EM_T.png,frames\Vid4_L.png,['l'],0,[3.720707400003448],[None],2,3.7334644999937154,,,,,0,2,2,3,1599.2002089000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599.1935905000137,1599.2002089000016,1599.2002089000016,1599.2002089000016,1599.2002089000016,1599.2002089000016,1599.2002089000016,1602.93391349999,['l'],0,[3.720707400003448],[None],1602.9348241999978,1602.9495181000093,1602.9495181000093,1602.9495181000093,1606.6838879999996,2,3.7334644999937154,2,3.7334644999937154,,,,,,sub86_NB,001,2026-01-29_15h06.47.173,recognitionstage,,2025.1.1,60.09727344938952,2026-01-29 15h08.39.285854 +0530,
,,,3,3,0,9,frames\Vid9_EM_T.png,frames\Vid9_L.png,['r'],1,[4.94429929999751],[None],2,2.413819400011562,,,,,0,3,3,8,1606.752879000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606.736125299998,1606.752879000007,1606.752879000007,1606.752879000007,1606.752879000007,1606.752879000007,1606.752879000007,1611.7028342999984,['r'],1,[4.94429929999751],[None],1611.7038177000068,1611.7157790999918,1611.7157790999918,1611.7157790999918,1614.1332760000078,2,2.413819400011562,2,2.413819400011562,,,,,,sub86_NB,001,2026-01-29_15h06.47.173,recognitionstage,,2025.1.1,60.09727344938952,2026-01-29 15h08.39.285854 +0530,
,,,4,4,0,38,frames\Vid38_EM_T.png,frames\Vid38_L.png,['r'],1,[4.064737299981061],[None],3,2.2973389000108,,,,,0,4,4,37,1614.1682904000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.1576522999967,1614.1682904000045,1614.1682904000045,1614.1682904000045,1614.1682904000045,1614.1682904000045,1614.1682904000045,1618.235257399996,['r'],1,[4.064737299981061],[None],1618.2365139000176,1618.2498231999925,1618.2498231999925,1618.2498231999925,1620.5507410000137,3,2.2973389000108,3,2.2973389000108,,,,,,sub86_NB,001,2026-01-29_15h06.47.173,recognitionstage,,2025.1.1,60.09727344938952,2026-01-29 15h08.39.285854 +0530,
,,,5,5,0,35,frames\Vid35_EM_T.png,frames\Vid35_L.png,['l'],1,[3.8825703999900725],[None],5,2.6126263000187464,,,,,0,5,5,34,1620.5826336000173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620.5770784000051,1620.5826336000173,1620.5826336000173,1620.5826336000173,1620.5826336000173,1620.5826336000173,1620.5826336000173,1624.4696692000143,['l'],1,[3.8825703999900725],[None],1624.4709876000124,1624.4824396999902,1624.4824396999902,1624.4824396999902,1627.1007686000085,5,2.6126263000187464,5,2.6126263000187464,,,,,,sub86_NB,001,2026-01-29_15h06.47.173,recognitionstage,,2025.1.1,60.09727344938952,2026-01-29 15h08.39.285854 +0530,
