thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.004180599993560463,0.07163939997553825,,,,sub40_NB,001,2026-01-20_09h31.14.064,recognitionstage,,2025.1.1,60.27200757500149,2026-01-20 09h56.39.303658 +0530,
,,,,,,,,,,0.0716686999949161,0.08766509999986738,0.08766509999986738,,,,,,,,,
