path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,text.stopped,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.010131399991223589,0.012502799989306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub141_AB,001,2026-02-02_21h36.52.583,recognitionstage,,2025.1.1,59.93303083074342,2026-02-02 21h38.19.952037 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012523699988378212,0.028532699987408705,0.028532699987408705,25.565603700000793,space,25.53421050000179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub141_AB,001,2026-02-02_21h36.52.583,recognitionstage,,2025.1.1,59.93303083074342,2026-02-02 21h38.19.952037 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.56569249999302,25.581085199999507,25.581085199999507,40.347412199989776,space,14.765718900001957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub141_AB,001,2026-02-02_21h36.52.583,recognitionstage,,2025.1.1,59.93303083074342,2026-02-02 21h38.19.952037 +0530,
abrupt_videos\abrupt_39.mp4,44,0,44,44,0,,,,,,,,,,0,44,44,43,,,,,1535.2442408999923,,,,,,,,,,,,,,,,,,,,,,,,1535.1879587000003,1535.2442408999923,1535.2442408999923,1579.6104398999887,1579.4584618999943,None,0,1,1579.5937972999964,1579.6104398999887,1535.2442408999923,1582.0962109999964,5.172327699998277,None,1582.0962943999912,1582.1119491999998,1582.1119491999998,1628.8636261999927,space,46.74645859999873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub141_AB,001,2026-02-02_21h36.52.583,recognitionstage,,2025.1.1,59.93303083074342,2026-02-02 21h38.19.952037 +0530,
,,,0,0,0,39,frames\Vid39_BB_T.png,frames\Vid39_L.png,['l'],1,[14.644900899991626],[None],4,11.049390999993193,,,,,0,0,0,38,1628.8931789999915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628.8815516999894,1628.8931789999915,1628.8931789999915,1628.8931789999915,1628.8931789999915,1628.8931789999915,1628.8931789999915,1643.5462396999937,['l'],1,[14.644900899991626],[None],1643.5471714999876,1643.5609211999981,1643.5609211999981,1643.5609211999981,1654.6121989999956,4,11.049390999993193,4,11.049390999993193,,,,,,,,sub141_AB,001,2026-02-02_21h36.52.583,recognitionstage,,2025.1.1,59.93303083074342,2026-02-02 21h38.19.952037 +0530,
,,,1,1,0,3,frames\Vid3_BB_T.png,frames\Vid3_L.png,['r'],1,[3.3820317999925464],[None],5,2.4637155999953393,,,,,0,1,1,2,1654.6600796999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1654.6543695,1654.6600796999992,1654.6600796999992,1654.6600796999992,1654.6600796999992,1654.6600796999992,1654.6600796999992,1658.0476063999959,['r'],1,[3.3820317999925464],[None],1658.0488180999964,1658.0765541,1658.0765541,1658.0765541,1660.528716899993,5,2.4637155999953393,5,2.4637155999953393,,,,,,,,sub141_AB,001,2026-02-02_21h36.52.583,recognitionstage,,2025.1.1,59.93303083074342,2026-02-02 21h38.19.952037 +0530,
,,,2,2,0,6,frames\Vid6_BB_T.png,frames\Vid6_L.png,['r'],0,[10.23997659998713],[None],5,2.482051800005138,,,,,0,2,2,5,1660.5940209999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660.583516300001,1660.5940209999972,1660.5940209999972,1660.5940209999972,1660.5940209999972,1660.5940209999972,1660.5940209999972,1670.8466800999886,['r'],0,[10.23997659998713],[None],1670.847366899994,1670.861016099996,1670.861016099996,1670.861016099996,1673.3452618999872,5,2.482051800005138,5,2.482051800005138,,,,,,,,sub141_AB,001,2026-02-02_21h36.52.583,recognitionstage,,2025.1.1,59.93303083074342,2026-02-02 21h38.19.952037 +0530,
,,,3,3,0,10,frames\Vid10_BB_T.png,frames\Vid10_L.png,['l'],1,[5.58729769999627],[None],5,2.082424300009734,,,,,0,3,3,9,1673.3988269999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673.387234599999,1673.3988269999973,1673.3988269999973,1673.3988269999973,1673.3988269999973,1673.3988269999973,1673.3988269999973,1678.9964311999938,['l'],1,[5.58729769999627],[None],1678.9973436,1679.0119935999974,1679.0119935999974,1679.0119935999974,1681.0947990999994,5,2.082424300009734,5,2.082424300009734,,,,,,,,sub141_AB,001,2026-02-02_21h36.52.583,recognitionstage,,2025.1.1,59.93303083074342,2026-02-02 21h38.19.952037 +0530,
,,,4,4,0,38,frames\Vid38_EM_T.png,frames\Vid38_L.png,['l'],0,[8.773647499998333],[None],4,2.0977065000042785,,,,,0,4,4,37,1681.116598499997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1681.1036537999898,1681.116598499997,1681.116598499997,1681.116598499997,1681.116598499997,1681.116598499997,1681.116598499997,1689.896864299997,['l'],0,[8.773647499998333],[None],1689.8980185999972,1689.9112454999995,1689.9112454999995,1689.9112454999995,1692.012021699993,4,2.0977065000042785,4,2.0977065000042785,,,,,,,,sub141_AB,001,2026-02-02_21h36.52.583,recognitionstage,,2025.1.1,59.93303083074342,2026-02-02 21h38.19.952037 +0530,
,,,5,5,0,29,frames\Vid29_BB_T.png,frames\Vid29_L.png,['r'],1,[5.140519799999311],[None],3,2.3818478000030154,,,,,0,5,5,28,1692.0294585999945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.0220655000012,1692.0294585999945,1692.0294585999945,1692.0294585999945,1692.0294585999945,1692.0294585999945,1692.0294585999945,1697.1795072999957,['r'],1,[5.140519799999311],[None],1697.1802365999902,1697.194308799997,1697.194308799997,1697.194308799997,1699.5787200999912,3,2.3818478000030154,3,2.3818478000030154,,,,,,,,sub141_AB,001,2026-02-02_21h36.52.583,recognitionstage,,2025.1.1,59.93303083074342,2026-02-02 21h38.19.952037 +0530,
