path,duration,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,key_resp_6.started,movie_2.stopped,key_resp_6.stopped,Videos.stopped,movie.key_resp_6.keys,ISI.started,text.started,ISI.stopped,text.stopped,movie.key_resp_6.rt,movie.key_resp_6.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.012252300017280504,0.014815800008364022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub16_NB,001,2026-01-18_10h13.44.989,recognitionstage,,2025.1.1,60.839722005930334,2026-01-18 10h14.52.942031 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014837900002021343,0.030939900025259703,0.030939900025259703,10.165164300007746,space,10.130439699976705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub16_NB,001,2026-01-18_10h13.44.989,recognitionstage,,2025.1.1,60.839722005930334,2026-01-18 10h14.52.942031 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.165197700000135,10.181170600000769,10.181170600000769,18.58309250001912,space,8.388167400000384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub16_NB,001,2026-01-18_10h13.44.989,recognitionstage,,2025.1.1,60.839722005930334,2026-01-18 10h14.52.942031 +0530,
Trimmed_videos/natural_21.mp4,39,44,44,0,,,,,,,,,,0,44,44,23,,,,,1481.8324763000128,,,,,,,,,,,,,,,,,,,,,,,,1481.782859400002,1481.8324763000128,1481.8324763000128,1521.0985760000185,1521.0985760000185,1520.9493647000054,None,1521.08405830001,1521.0985760000185,1523.584937000007,1373.2823842000216,1.1690295999869704,None,1523.5850158000248,1523.600937100011,1523.600937100011,1542.1184436000185,space,18.506761600001482,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub16_NB,001,2026-01-18_10h13.44.989,recognitionstage,,2025.1.1,60.839722005930334,2026-01-18 10h14.52.942031 +0530,
,,0,0,0,4,frames\Vid4_EM_T.png,frames\Vid4_L.png,['r'],0,[13.397753099998226],[None],4,6.881235200009542,,,,,0,0,0,3,1542.1820131000131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1542.1718135999981,1542.1820131000131,1542.1820131000131,1542.1820131000131,1542.1820131000131,1542.1820131000131,1542.1820131000131,1555.5855194000178,['r'],0,[13.397753099998226],[None],1555.5869154000247,1555.6141634000232,1555.6141634000232,1555.6141634000232,1562.4836623000156,4,6.881235200009542,4,6.881235200009542,,,,,,sub16_NB,001,2026-01-18_10h13.44.989,recognitionstage,,2025.1.1,60.839722005930334,2026-01-18 10h14.52.942031 +0530,
,,1,1,0,40,frames\Vid40_EM_T.png,frames\Vid40_L.png,['l'],1,[6.8477791999757756],[None],5,1.5313219000236131,,,,,0,1,1,39,1562.531784300023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562.5112903000263,1562.531784300023,1562.531784300023,1562.531784300023,1562.531784300023,1562.531784300023,1562.531784300023,1569.3852834000136,['l'],1,[6.8477791999757756],[None],1569.3861779000144,1569.3993984000117,1569.3993984000117,1569.3993984000117,1570.933527700021,5,1.5313219000236131,5,1.5313219000236131,,,,,,sub16_NB,001,2026-01-18_10h13.44.989,recognitionstage,,2025.1.1,60.839722005930334,2026-01-18 10h14.52.942031 +0530,
,,2,2,0,8,frames\Vid8_BB_T.png,frames\Vid8_L.png,['r'],1,[5.844170500000473],[None],5,1.9302161000086926,,,,,0,2,2,7,1570.9834657000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570.9705698000034,1570.9834657000029,1570.9834657000029,1570.9834657000029,1570.9834657000029,1570.9834657000029,1570.9834657000029,1576.835727800004,['r'],1,[5.844170500000473],[None],1576.8371765000047,1576.849337600026,1576.849337600026,1576.849337600026,1578.7833515000239,5,1.9302161000086926,5,1.9302161000086926,,,,,,sub16_NB,001,2026-01-18_10h13.44.989,recognitionstage,,2025.1.1,60.839722005930334,2026-01-18 10h14.52.942031 +0530,
,,3,3,0,23,frames\Vid23_EM_T.png,frames\Vid23_L.png,['r'],0,[5.1927806999883614],[None],4,1.5142571000033058,,,,,0,3,3,22,1578.8189092000248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578.7979671000212,1578.8189092000248,1578.8189092000248,1578.8189092000248,1578.8189092000248,1578.8189092000248,1578.8189092000248,1584.019265800016,['r'],0,[5.1927806999883614],[None],1584.0205128000234,1584.0333031000046,1584.0333031000046,1584.0333031000046,1585.5505219000042,4,1.5142571000033058,4,1.5142571000033058,,,,,,sub16_NB,001,2026-01-18_10h13.44.989,recognitionstage,,2025.1.1,60.839722005930334,2026-01-18 10h14.52.942031 +0530,
,,4,4,0,26,frames\Vid26_EM_T.png,frames\Vid26_L.png,['l'],0,[5.324659200006863],[None],5,1.931452699995134,,,,,0,4,4,25,1585.5829274000134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1585.5670704000222,1585.5829274000134,1585.5829274000134,1585.5829274000134,1585.5829274000134,1585.5829274000134,1585.5829274000134,1590.9181271000125,['l'],0,[5.324659200006863],[None],1590.919145699998,1590.9333075000031,1590.9333075000031,1590.9333075000031,1592.8672968000174,5,1.931452699995134,5,1.931452699995134,,,,,,sub16_NB,001,2026-01-18_10h13.44.989,recognitionstage,,2025.1.1,60.839722005930334,2026-01-18 10h14.52.942031 +0530,
,,5,5,0,20,frames\Vid20_EM_T.png,frames\Vid20_L.png,['r'],0,[6.470684500003699],[None],4,1.4964161999814678,,,,,0,5,5,19,1592.8850445999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1592.8733137000236,1592.8850445999997,1592.8850445999997,1592.8850445999997,1592.8850445999997,1592.8850445999997,1592.8850445999997,1599.369603500003,['r'],0,[6.470684500003699],[None],1599.3711152000178,1599.3976008000027,1599.3976008000027,1599.3976008000027,1600.8844867000007,4,1.4964161999814678,4,1.4964161999814678,,,,,,sub16_NB,001,2026-01-18_10h13.44.989,recognitionstage,,2025.1.1,60.839722005930334,2026-01-18 10h14.52.942031 +0530,
