path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,text.stopped,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.014734399999724701,0.017101500001444947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub64_NB,001,2026-01-27_17h42.32.339,recognitionstage,,2025.1.1,59.86962789788907,2026-01-27 17h43.17.413874 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017121999997470994,0.03386970000428846,0.03386970000428846,11.569398799998453,space,11.533831900000223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub64_NB,001,2026-01-27_17h42.32.339,recognitionstage,,2025.1.1,59.86962789788907,2026-01-27 17h43.17.413874 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.56944150000345,11.584151800001564,11.584151800001564,23.13701620000211,space,11.55161849999422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub64_NB,001,2026-01-27_17h42.32.339,recognitionstage,,2025.1.1,59.86962789788907,2026-01-27 17h43.17.413874 +0530,
Trimmed_videos/natural_2.mp4,31,0,44,44,0,,,,,,,,,,0,44,44,1,,,,,1523.4671013000043,,,,,,,,,,,,,,,,,,,,,,,,1523.4209787,1523.4671013000043,1523.4671013000043,1555.2329323000013,1555.0896733000045,None,0,1,1555.2249317000023,1555.2329323000013,1557.7348539000013,1557.718982899998,1.5837940999990678,None,1557.7190569000013,1557.7348539000013,1557.7348539000013,1587.8525651000018,space,30.105157699996198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub64_NB,001,2026-01-27_17h42.32.339,recognitionstage,,2025.1.1,59.86962789788907,2026-01-27 17h43.17.413874 +0530,
,,,0,0,0,26,frames\Vid26_EM_T.png,frames\Vid26_L.png,['l'],1,[3.3654481999983545],[None],5,8.115067999999155,,,,,0,0,0,25,1587.8825135000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587.8736485000045,1587.8825135000006,1587.8825135000006,1587.8825135000006,1587.8825135000006,1587.8825135000006,1587.8825135000006,1591.2522375000044,['l'],1,[3.3654481999983545],[None],1591.2532030000002,1591.2819439000014,1591.2819439000014,1591.2819439000014,1599.384100299998,5,8.115067999999155,5,8.115067999999155,,,,,,sub64_NB,001,2026-01-27_17h42.32.339,recognitionstage,,2025.1.1,59.86962789788907,2026-01-27 17h43.17.413874 +0530,
,,,1,1,0,10,frames\Vid10_BB_T.png,frames\Vid10_L.png,['r'],1,[6.230533499998273],[None],4,2.714756800000032,,,,,0,1,1,9,1599.4494678000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599.4326989000037,1599.4494678000046,1599.4494678000046,1599.4494678000046,1599.4494678000046,1599.4494678000046,1599.4494678000046,1605.685729900004,['r'],1,[6.230533499998273],[None],1605.686805999998,1605.7008528000006,1605.7008528000006,1605.7008528000006,1608.4178883999994,4,2.714756800000032,4,2.714756800000032,,,,,,sub64_NB,001,2026-01-27_17h42.32.339,recognitionstage,,2025.1.1,59.86962789788907,2026-01-27 17h43.17.413874 +0530,
,,,2,2,0,7,frames\Vid7_EM_T.png,frames\Vid7_L.png,['l'],1,[7.940857499997946],[None],3,3.630736099999922,,,,,0,2,2,6,1608.4830201000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.4772034999987,1608.4830201000004,1608.4830201000004,1608.4830201000004,1608.4830201000004,1608.4830201000004,1608.4830201000004,1616.4366192000016,['l'],1,[7.940857499997946],[None],1616.4376654000007,1616.450099200003,1616.450099200003,1616.450099200003,1620.084799199998,3,3.630736099999922,3,3.630736099999922,,,,,,sub64_NB,001,2026-01-27_17h42.32.339,recognitionstage,,2025.1.1,59.86962789788907,2026-01-27 17h43.17.413874 +0530,
,,,3,3,0,15,frames\Vid15_BB_T.png,frames\Vid15_L.png,['r'],1,[3.670018800003163],[None],5,2.2639397000020836,,,,,0,3,3,14,1620.1539016000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620.1354761000039,1620.1539016000024,1620.1539016000024,1620.1539016000024,1620.1539016000024,1620.1539016000024,1620.1539016000024,1623.8366401000021,['r'],1,[3.670018800003163],[None],1623.8377038000035,1623.8505915999995,1623.8505915999995,1623.8505915999995,1626.1177710000047,5,2.2639397000020836,5,2.2639397000020836,,,,,,sub64_NB,001,2026-01-27_17h42.32.339,recognitionstage,,2025.1.1,59.86962789788907,2026-01-27 17h43.17.413874 +0530,
,,,4,4,0,2,frames\Vid2_BB_T.png,frames\Vid2_L.png,['l'],1,[9.029493999994884],[None],4,1.8493423999971128,,,,,0,4,4,1,1626.1703152000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626.155071699999,1626.1703152000046,1626.1703152000046,1626.1703152000046,1626.1703152000046,1626.1703152000046,1626.1703152000046,1635.2021848000004,['l'],1,[9.029493999994884],[None],1635.2029939999993,1635.2173279999988,1635.2173279999988,1635.2173279999988,1637.0680350000039,4,1.8493423999971128,4,1.8493423999971128,,,,,,sub64_NB,001,2026-01-27_17h42.32.339,recognitionstage,,2025.1.1,59.86962789788907,2026-01-27 17h43.17.413874 +0530,
,,,5,5,0,36,frames\Vid36_BB_T.png,frames\Vid36_L.png,['r'],1,[6.280473099999654],[None],5,2.1644713999994565,,,,,0,5,5,35,1637.1035163999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.0832306000011,1637.1035163999986,1637.1035163999986,1637.1035163999986,1637.1035163999986,1637.1035163999986,1637.1035163999986,1643.3865703000047,['r'],1,[6.280473099999654],[None],1643.3876372000013,1643.4152843000047,1643.4152843000047,1643.4152843000047,1645.5679481000043,5,2.1644713999994565,5,2.1644713999994565,,,,,,sub64_NB,001,2026-01-27_17h42.32.339,recognitionstage,,2025.1.1,59.86962789788907,2026-01-27 17h43.17.413874 +0530,
,,,6,6,0,39,frames\Vid39_BB_T.png,frames\Vid39_L.png,['r'],1,[10.870569400001841],[None],4,1.7966078000026755,,,,,0,6,6,38,1645.5854764000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645.5780214999977,1645.5854764000032,1645.5854764000032,1645.5854764000032,1645.5854764000032,1645.5854764000032,1645.5854764000032,1656.4700701000038,['r'],1,[10.870569400001841],[None],1656.471762400004,1656.4835292999996,1656.4835292999996,1656.4835292999996,1658.284421700002,4,1.7966078000026755,4,1.7966078000026755,,,,,,sub64_NB,001,2026-01-27_17h42.32.339,recognitionstage,,2025.1.1,59.86962789788907,2026-01-27 17h43.17.413874 +0530,
,,,7,7,0,3,frames\Vid3_BB_T.png,frames\Vid3_L.png,['r'],1,[3.1620476999960374],[None],5,1.8305591000025743,,,,,0,7,7,2,1658.3340919000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658.3234379999994,1658.3340919000038,1658.3340919000038,1658.3340919000038,1658.3340919000038,1658.3340919000038,1658.3340919000038,1661.5028508000032,['r'],1,[3.1620476999960374],[None],1661.5041553000046,1661.5318298999991,1661.5318298999991,1661.5318298999991,1663.3511675000045,5,1.8305591000025743,5,1.8305591000025743,,,,,,sub64_NB,001,2026-01-27_17h42.32.339,recognitionstage,,2025.1.1,59.86962789788907,2026-01-27 17h43.17.413874 +0530,
,,,8,8,0,4,frames\Vid4_EM_T.png,frames\Vid4_L.png,['r'],0,[5.267932499999006],[None],3,1.8321619999987888,,,,,0,8,8,3,1663.4201194999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663.3954704999996,1663.4201194999987,1663.4201194999987,1663.4201194999987,1663.4201194999987,1663.4201194999987,1663.4201194999987,1668.7018561000004,['r'],0,[5.267932499999006],[None],1668.702794900004,1668.716929000002,1668.716929000002,1668.716929000002,1670.551414499998,3,1.8321619999987888,3,1.8321619999987888,,,,,,sub64_NB,001,2026-01-27_17h42.32.339,recognitionstage,,2025.1.1,59.86962789788907,2026-01-27 17h43.17.413874 +0530,
