path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.014976800011936575,0.07531890000973362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test6,001,2026-02-02_23h26.22.008,recognitionstage,,2025.1.1,60.03172076342896,2026-02-02 23h26.46.876688 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07534780001151375,0.0818452000094112,0.0818452000094112,20.17029840000032,space,20.072992400004296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test6,001,2026-02-02_23h26.22.008,recognitionstage,,2025.1.1,60.03172076342896,2026-02-02 23h26.46.876688 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.17035240000405,20.18504500000563,20.18504500000563,30.885475900009624,space,10.697635199991055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test6,001,2026-02-02_23h26.22.008,recognitionstage,,2025.1.1,60.03172076342896,2026-02-02 23h26.46.876688 +0530,
abrupt_videos\abrupt_30.mp4,36,0,44,44,0,,,,,,,,,,0,44,44,33,,,,,1615.2661319000035,,,,,,,,,,,,,,,,,,,,,,,,1615.2169367000024,1615.2661319000035,1615.2661319000035,1651.8660006999999,1651.7180697000003,None,0,1,1651.8539535000018,1651.8660006999999,1654.3501277000032,1654.366716000004,25.884372699991218,None,1654.3501744000096,1654.366716000004,1654.366716000004,1673.6524920000084,space,19.27552840000135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,test6,001,2026-02-02_23h26.22.008,recognitionstage,,2025.1.1,60.03172076342896,2026-02-02 23h26.46.876688 +0530,
,,,0,0,0,14,frames\Vid14_BB_T.png,frames\Vid14_L.png,['l'],1,[6.190704499997082],[None],3,2.565293499996187,,,,,0,0,0,13,1673.715286400009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673.7063739000005,1673.715286400009,1673.715286400009,1673.715286400009,1673.715286400009,1673.715286400009,1673.715286400009,1679.917843800009,['l'],1,[6.190704499997082],[None],1679.9188016000116,1679.9479692000023,1679.9479692000023,1679.9479692000023,1682.5007285000029,3,2.565293499996187,3,2.565293499996187,,,,,,test6,001,2026-02-02_23h26.22.008,recognitionstage,,2025.1.1,60.03172076342896,2026-02-02 23h26.46.876688 +0530,
,,,1,1,0,25,frames\Vid25_BB_T.png,frames\Vid25_L.png,['l'],0,[4.6053718000039225],[None],4,0.9645560999924783,,,,,0,1,1,24,1682.5485021000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682.5304991000012,1682.5485021000059,1682.5485021000059,1682.5485021000059,1682.5485021000059,1682.5485021000059,1682.5485021000059,1687.1689342000027,['l'],0,[4.6053718000039225],[None],1687.1698450000113,1687.1829368000035,1687.1829368000035,1687.1829368000035,1688.1503617000126,4,0.9645560999924783,4,0.9645560999924783,,,,,,test6,001,2026-02-02_23h26.22.008,recognitionstage,,2025.1.1,60.03172076342896,2026-02-02 23h26.46.876688 +0530,
,,,2,2,0,5,frames\Vid5_EM_T.png,frames\Vid5_L.png,['l'],1,[7.217866799997864],[None],4,1.1973603000078583,,,,,0,2,2,4,1688.2001070000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688.1786388000037,1688.2001070000115,1688.2001070000115,1688.2001070000115,1688.2001070000115,1688.2001070000115,1688.2001070000115,1695.4192440000043,['l'],1,[7.217866799997864],[None],1695.420168800003,1695.433749200005,1695.433749200005,1695.433749200005,1696.6333989000123,4,1.1973603000078583,4,1.1973603000078583,,,,,,test6,001,2026-02-02_23h26.22.008,recognitionstage,,2025.1.1,60.03172076342896,2026-02-02 23h26.46.876688 +0530,
,,,3,3,0,33,frames\Vid33_BB_T.png,frames\Vid33_L.png,['r'],1,[4.9481010000017704],[None],3,1.198507500012056,,,,,0,3,3,32,1696.6538560000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696.6420204000024,1696.6538560000045,1696.6538560000045,1696.6538560000045,1696.6538560000045,1696.6538560000045,1696.6538560000045,1701.6187247000053,['r'],1,[4.9481010000017704],[None],1701.6196380000038,1701.6330396000121,1701.6330396000121,1701.6330396000121,1702.8338191000075,3,1.198507500012056,3,1.198507500012056,,,,,,test6,001,2026-02-02_23h26.22.008,recognitionstage,,2025.1.1,60.03172076342896,2026-02-02 23h26.46.876688 +0530,
,,,4,4,0,27,frames\Vid27_BB_T.png,frames\Vid27_L.png,['r'],1,[4.222163700003875],[None],5,0.9652960999956122,,,,,0,4,4,26,1702.8517255000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702.8440506000043,1702.8517255000042,1702.8517255000042,1702.8517255000042,1702.8517255000042,1702.8517255000042,1702.8517255000042,1707.0848479999986,['r'],1,[4.222163700003875],[None],1707.0855736000085,1707.0995128000068,1707.0995128000068,1707.0995128000068,1708.0671999000042,5,0.9652960999956122,5,0.9652960999956122,,,,,,test6,001,2026-02-02_23h26.22.008,recognitionstage,,2025.1.1,60.03172076342896,2026-02-02 23h26.46.876688 +0530,
,,,5,5,0,13,frames\Vid13_BB_T.png,frames\Vid13_L.png,['r'],0,[7.381096899989643],[None],4,0.8800606000004336,,,,,0,5,5,12,1708.1169049000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708.1008104000066,1708.1169049000018,1708.1169049000018,1708.1169049000018,1708.1169049000018,1708.1169049000018,1708.1169049000018,1715.5030212000129,['r'],0,[7.381096899989643],[None],1715.5042710000125,1715.5312087000057,1715.5312087000057,1715.5312087000057,1716.4001033000095,4,0.8800606000004336,4,0.8800606000004336,,,,,,test6,001,2026-02-02_23h26.22.008,recognitionstage,,2025.1.1,60.03172076342896,2026-02-02 23h26.46.876688 +0530,
