path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.016540400043595582,0.019046600034926087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub104_AB   ,001,2026-01-31_10h32.26.038,recognitionstage,,2025.1.1,59.959012007435355,2026-01-31 10h33.13.072322 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019068600027821958,0.03569809999316931,0.03569809999316931,6.5385311000281945,space,6.486711999983527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub104_AB   ,001,2026-01-31_10h32.26.038,recognitionstage,,2025.1.1,59.959012007435355,2026-01-31 10h33.13.072322 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.538607000024058,6.552503300015815,6.552503300015815,19.23806090001017,space,12.681383799994364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub104_AB   ,001,2026-01-31_10h32.26.038,recognitionstage,,2025.1.1,59.959012007435355,2026-01-31 10h33.13.072322 +0530,
abrupt_videos\abrupt_18.mp4,24,1,44,44,0,,,,,,,,,,0,44,44,20,,,,,1557.1688737000222,,,,,,,,,,,,,,,,,,,,,,,,1557.1213853000081,1557.1688737000222,1557.1688737000222,1582.0683016999974,1581.9229007000104,None,0,0,1582.0576337000239,1582.0683016999974,1584.555073400028,1584.5709737000288,6.992395499954,None,1584.5551648000255,1584.5709737000288,1584.5709737000288,1619.9706941000186,space,35.38371739996364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub104_AB   ,001,2026-01-31_10h32.26.038,recognitionstage,,2025.1.1,59.959012007435355,2026-01-31 10h33.13.072322 +0530,
,,,0,0,0,5,frames\Vid5_EM_T.png,frames\Vid5_L.png,['r'],0,[8.176191400038078],[None],3,10.31519130000379,,,,,0,0,0,4,1620.0177180000464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620.009784599999,1620.0177180000464,1620.0177180000464,1620.0177180000464,1620.0177180000464,1620.0177180000464,1620.0177180000464,1628.2038145000115,['r'],0,[8.176191400038078],[None],1628.2045851000003,1628.2186536000227,1628.2186536000227,1628.2186536000227,1638.5371202999959,3,10.31519130000379,3,10.31519130000379,,,,,,,,sub104_AB   ,001,2026-01-31_10h32.26.038,recognitionstage,,2025.1.1,59.959012007435355,2026-01-31 10h33.13.072322 +0530,
,,,1,1,0,25,frames\Vid25_BB_T.png,frames\Vid25_L.png,['r'],1,[5.8586871000006795],[None],4,4.997784799954388,,,,,0,1,1,24,1638.5673947000178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.5629790000385,1638.5673947000178,1638.5673947000178,1638.5673947000178,1638.5673947000178,1638.5673947000178,1638.5673947000178,1644.4376765000052,['r'],1,[5.8586871000006795],[None],1644.4386273000273,1644.452439900022,1644.452439900022,1644.452439900022,1649.453328100033,4,4.997784799954388,4,4.997784799954388,,,,,,,,sub104_AB   ,001,2026-01-31_10h32.26.038,recognitionstage,,2025.1.1,59.959012007435355,2026-01-31 10h33.13.072322 +0530,
,,,2,2,0,2,frames\Vid2_BB_T.png,frames\Vid2_L.png,['r'],0,[2.9714998999843374],[None],5,2.964539300010074,,,,,0,2,2,1,1649.5024491000222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649.4939990999992,1649.5024491000222,1649.5024491000222,1649.5024491000222,1649.5024491000222,1649.5024491000222,1649.5024491000222,1652.4877399000106,['r'],0,[2.9714998999843374],[None],1652.4888436000329,1652.5020273000118,1652.5020273000118,1652.5020273000118,1655.4692860000068,5,2.964539300010074,5,2.964539300010074,,,,,,,,sub104_AB   ,001,2026-01-31_10h32.26.038,recognitionstage,,2025.1.1,59.959012007435355,2026-01-31 10h33.13.072322 +0530,
,,,3,3,0,22,frames\Vid22_EM_T.png,frames\Vid22_L.png,['l'],1,[7.120879299996886],[None],5,2.715017299982719,,,,,0,3,3,21,1655.5050719000283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655.482380100002,1655.5050719000283,1655.5050719000283,1655.5050719000283,1655.5050719000283,1655.5050719000283,1655.5050719000283,1662.6372296000482,['l'],1,[7.120879299996886],[None],1662.638334600022,1662.6528602000326,1662.6528602000326,1662.6528602000326,1665.3695831000223,5,2.715017299982719,5,2.715017299982719,,,,,,,,sub104_AB   ,001,2026-01-31_10h32.26.038,recognitionstage,,2025.1.1,59.959012007435355,2026-01-31 10h33.13.072322 +0530,
,,,4,4,0,23,frames\Vid23_EM_T.png,frames\Vid23_L.png,['l'],1,[5.599877499975264],[None],2,3.1985822000424378,,,,,0,4,4,22,1665.4022205999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665.385112399992,1665.4022205999936,1665.4022205999936,1665.4022205999936,1665.4022205999936,1665.4022205999936,1665.4022205999936,1671.0035797000164,['l'],1,[5.599877499975264],[None],1671.0043829000206,1671.0193456000416,1671.0193456000416,1671.0193456000416,1674.2202751000295,2,3.1985822000424378,2,3.1985822000424378,,,,,,,,sub104_AB   ,001,2026-01-31_10h32.26.038,recognitionstage,,2025.1.1,59.959012007435355,2026-01-31 10h33.13.072322 +0530,
,,,5,5,0,1,frames\Vid1_EM_T.png,frames\Vid1_L.png,['l'],1,[16.99605860002339],[None],4,2.3655753000057302,,,,,0,5,5,0,1674.2860367000103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1674.267300300009,1674.2860367000103,1674.2860367000103,1674.2860367000103,1674.2860367000103,1674.2860367000103,1674.2860367000103,1691.2871809999924,['l'],1,[16.99605860002339],[None],1691.2880753999925,1691.3024117000168,1691.3024117000168,1691.3024117000168,1693.6695706000319,4,2.3655753000057302,4,2.3655753000057302,,,,,,,,sub104_AB   ,001,2026-01-31_10h32.26.038,recognitionstage,,2025.1.1,59.959012007435355,2026-01-31 10h33.13.072322 +0530,
