path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,text.stopped,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,6,6,0,15,frames\Vid15_BB_T.png,frames\Vid15_L.png,['l'],1,[4.102487499942072],[None],5,1.6809878000058234,,,,,0,6,6,14,1636.873552899924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636.8541216999292,1636.873552899924,1636.873552899924,1636.873552899924,1636.873552899924,1636.873552899924,1636.873552899924,1640.9915885999799,['l'],1,[4.102487499942072],[None],1640.9924787000054,1641.0062327999622,1641.0062327999622,1641.0062327999622,1642.690770199988,5,1.6809878000058234,5,1.6809878000058234,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,7,7,0,31,frames\Vid31_EM_T.png,frames\Vid31_L.png,['l'],1,[4.178360599908046],[None],5,4.214226000010967,,,,,0,7,7,30,1642.7258432999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.7026200999971,1642.7258432999952,1642.7258432999952,1642.7258432999952,1642.7258432999952,1642.7258432999952,1642.7258432999952,1646.9091892999131,['l'],1,[4.178360599908046],[None],1646.9104156999383,1646.9378986998927,1646.9378986998927,1646.9378986998927,1651.140222499962,5,4.214226000010967,5,4.214226000010967,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,8,8,0,40,frames\Vid40_EM_T.png,frames\Vid40_L.png,['r'],1,[17.530119400005788],[None],5,1.3796024000039324,,,,,0,8,8,39,1651.158068699995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651.1481425999664,1651.158068699995,1651.158068699995,1651.158068699995,1651.158068699995,1651.158068699995,1651.158068699995,1668.6927139000036,['r'],1,[17.530119400005788],[None],1668.6941526998999,1668.7210483999224,1668.7210483999224,1668.7210483999224,1670.0896520999959,5,1.3796024000039324,5,1.3796024000039324,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,9,9,0,6,frames\Vid6_BB_T.png,frames\Vid6_L.png,['l'],1,[3.404160700039938],[None],5,1.1485705999657512,,,,,0,9,9,5,1670.1398281999864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.1333256999496,1670.1398281999864,1670.1398281999864,1670.1398281999864,1670.1398281999864,1670.1398281999864,1670.1398281999864,1673.5583883000072,['l'],1,[3.404160700039938],[None],1673.5589396998985,1673.5725476999069,1673.5725476999069,1673.5725476999069,1674.7240942999488,5,1.1485705999657512,5,1.1485705999657512,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,10,10,0,19,frames\Vid19_BB_T.png,frames\Vid19_L.png,['l'],1,[2.6330865001073107],[None],5,1.6990842000814155,,,,,0,10,10,18,1674.7591044999426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1674.7368700999068,1674.7591044999426,1674.7591044999426,1674.7591044999426,1674.7591044999426,1674.7591044999426,1674.7591044999426,1677.4082336999709,['l'],1,[2.6330865001073107],[None],1677.4090668999124,1677.4224925999297,1677.4224925999297,1677.4224925999297,1679.1231133999536,5,1.6990842000814155,5,1.6990842000814155,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,11,11,0,14,frames\Vid14_BB_T.png,frames\Vid14_L.png,['l'],1,[4.201833300059661],[None],5,1.0483562999870628,,,,,0,11,11,13,1679.1903474999126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679.1679416999687,1679.1903474999126,1679.1903474999126,1679.1903474999126,1679.1903474999126,1679.1903474999126,1679.1903474999126,1683.4081989999395,['l'],1,[4.201833300059661],[None],1683.4091828999808,1683.422511599958,1683.422511599958,1683.422511599958,1684.4742990999948,5,1.0483562999870628,5,1.0483562999870628,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,12,12,0,4,frames\Vid4_EM_T.png,frames\Vid4_L.png,['r'],0,[4.209357199957594],[None],5,2.980953500024043,,,,,0,12,12,3,1684.542930800002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684.520151799894,1684.542930800002,1684.542930800002,1684.542930800002,1684.542930800002,1684.542930800002,1684.542930800002,1688.7586365999887,['r'],0,[4.209357199957594],[None],1688.7595679999795,1688.772424899973,1688.772424899973,1688.772424899973,1691.7572344999062,5,2.980953500024043,5,2.980953500024043,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,13,13,0,11,frames\Vid11_EM_T.png,frames\Vid11_L.png,['l'],1,[2.6384957000846043],[None],5,1.0147873000241816,,,,,0,13,13,10,1691.809666999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1691.7994258999825,1691.809666999965,1691.809666999965,1691.809666999965,1691.809666999965,1691.809666999965,1691.809666999965,1694.45875599992,['l'],1,[2.6384957000846043],[None],1694.459711899981,1694.472472299938,1694.472472299938,1694.472472299938,1695.4908758999081,5,1.0147873000241816,5,1.0147873000241816,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,14,14,0,24,frames\Vid24_BB_T.png,frames\Vid24_L.png,['l'],1,[3.963058599969372],[None],5,1.064394999993965,,,,,0,14,14,23,1695.5251270999433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.5048657999141,1695.5251270999433,1695.5251270999433,1695.5251270999433,1695.5251270999433,1695.5251270999433,1695.5251270999433,1699.4914489999646,['l'],1,[3.963058599969372],[None],1699.4923960999586,1699.506229499937,1699.506229499937,1699.506229499937,1700.5742094999878,5,1.064394999993965,5,1.064394999993965,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,15,15,0,5,frames\Vid5_EM_T.png,frames\Vid5_L.png,['l'],1,[2.920911099994555],[None],5,1.5310919999610633,,,,,0,15,15,4,1700.6231509000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.6045197999338,1700.6231509000063,1700.6231509000063,1700.6231509000063,1700.6231509000063,1700.6231509000063,1700.6231509000063,1703.5581720999908,['l'],1,[2.920911099994555],[None],1703.559107299894,1703.5729077999713,1703.5729077999713,1703.5729077999713,1705.1076645998983,5,1.5310919999610633,5,1.5310919999610633,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
