path,duration,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,key_resp_6.started,movie_2.stopped,key_resp_6.stopped,Videos.stopped,movie.key_resp_6.keys,ISI.started,text.started,ISI.stopped,text.stopped,movie.key_resp_6.rt,movie.key_resp_6.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.005985500000008415,0.04832830000000854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub19_NB,001,2026-01-18_12h00.26.820,recognitionstage,,2025.1.1,60.180239818255586,2026-01-18 12h01.40.266065 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048356400000017175,0.0561911000000066,0.0561911000000066,6.177777500000019,space,6.106196000000011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub19_NB,001,2026-01-18_12h00.26.820,recognitionstage,,2025.1.1,60.180239818255586,2026-01-18 12h01.40.266065 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.177823200000006,6.193094100000025,6.193094100000025,13.411291000000006,space,7.201544899999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub19_NB,001,2026-01-18_12h00.26.820,recognitionstage,,2025.1.1,60.180239818255586,2026-01-18 12h01.40.266065 +0530,
Trimmed_videos/natural_30.mp4,36,44,44,0,,,,,,,,,,0,44,44,33,,,,,1500.8410380999999,,,,,,,,,,,,,,,,,,,,,,,,1500.7950482,1500.8410380999999,1500.8410380999999,1537.0739709,1537.0739709,1536.9291285999998,None,1537.0651209000002,1537.0739709,1539.5601987,1539.5752527999998,15.51690550000012,None,1539.5602628000001,1539.5752527999998,1539.5752527999998,1555.8434805000002,space,16.267131700000164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub19_NB,001,2026-01-18_12h00.26.820,recognitionstage,,2025.1.1,60.180239818255586,2026-01-18 12h01.40.266065 +0530,
,,0,0,0,25,frames\Vid25_BB_T.png,frames\Vid25_L.png,['l'],1,[3.0955165000000306],[None],5,2.6824945999999272,,,,,0,0,0,24,1555.9068060999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555.8921802,1555.9068060999998,1555.9068060999998,1555.9068060999998,1555.9068060999998,1555.9068060999998,1555.9068060999998,1559.0094305000002,['l'],1,[3.0955165000000306],[None],1559.0101949999998,1559.0250342,1559.0250342,1559.0250342,1561.7090379,5,2.6824945999999272,5,2.6824945999999272,,,,,,sub19_NB,001,2026-01-18_12h00.26.820,recognitionstage,,2025.1.1,60.180239818255586,2026-01-18 12h01.40.266065 +0530,
,,1,1,0,6,frames\Vid6_BB_T.png,frames\Vid6_L.png,['l'],1,[5.795856699999831],[None],5,1.8320243999999093,,,,,0,1,1,5,1561.7904322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561.7745851999998,1561.7904322,1561.7904322,1561.7904322,1561.7904322,1561.7904322,1561.7904322,1567.5925605000002,['l'],1,[5.795856699999831],[None],1567.5933495,1567.6083242,1567.6083242,1567.6083242,1569.4431797000002,5,1.8320243999999093,5,1.8320243999999093,,,,,,sub19_NB,001,2026-01-18_12h00.26.820,recognitionstage,,2025.1.1,60.180239818255586,2026-01-18 12h01.40.266065 +0530,
,,2,2,0,5,frames\Vid5_EM_T.png,frames\Vid5_L.png,['r'],0,[7.551048000000037],[None],3,1.9143907000000127,,,,,0,2,2,4,1569.5071011999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569.5005769,1569.5071011999999,1569.5071011999999,1569.5071011999999,1569.5071011999999,1569.5071011999999,1569.5071011999999,1577.0604244,['r'],0,[7.551048000000037],[None],1577.0611824000002,1577.0745301000002,1577.0745301000002,1577.0745301000002,1578.9928601000001,3,1.9143907000000127,3,1.9143907000000127,,,,,,sub19_NB,001,2026-01-18_12h00.26.820,recognitionstage,,2025.1.1,60.180239818255586,2026-01-18 12h01.40.266065 +0530,
,,3,3,0,1,frames\Vid1_EM_T.png,frames\Vid1_L.png,['r'],0,[3.244788299999982],[None],5,0.9314507999999933,,,,,0,3,3,0,1579.0776132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.0572889,1579.0776132,1579.0776132,1579.0776132,1579.0776132,1579.0776132,1579.0776132,1582.3277348000001,['r'],0,[3.244788299999982],[None],1582.3288078,1582.3411918000002,1582.3411918000002,1582.3411918000002,1583.2755345,5,0.9314507999999933,5,0.9314507999999933,,,,,,sub19_NB,001,2026-01-18_12h00.26.820,recognitionstage,,2025.1.1,60.180239818255586,2026-01-18 12h01.40.266065 +0530,
,,4,4,0,15,frames\Vid15_BB_T.png,frames\Vid15_L.png,['l'],1,[4.152469800000063],[None],5,1.9489733000000342,,,,,0,4,4,14,1583.3617310999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583.3407656,1583.3617310999998,1583.3617310999998,1583.3617310999998,1583.3617310999998,1583.3617310999998,1583.3617310999998,1587.5259602,['l'],1,[4.152469800000063],[None],1587.5267448999998,1587.5416215999999,1587.5416215999999,1587.5416215999999,1589.4920731000002,5,1.9489733000000342,5,1.9489733000000342,,,,,,sub19_NB,001,2026-01-18_12h00.26.820,recognitionstage,,2025.1.1,60.180239818255586,2026-01-18 12h01.40.266065 +0530,
,,5,5,0,24,frames\Vid24_BB_T.png,frames\Vid24_L.png,['r'],1,[3.4261175999999978],[None],5,1.3320654999999988,,,,,0,5,5,23,1589.5442842000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589.5241901,1589.5442842000002,1589.5442842000002,1589.5442842000002,1589.5442842000002,1589.5442842000002,1589.5442842000002,1592.9759345000002,['r'],1,[3.4261175999999978],[None],1592.9767778,1592.9920682000002,1592.9920682000002,1592.9920682000002,1594.3260710999998,5,1.3320654999999988,5,1.3320654999999988,,,,,,sub19_NB,001,2026-01-18_12h00.26.820,recognitionstage,,2025.1.1,60.180239818255586,2026-01-18 12h01.40.266065 +0530,
