path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.004935099990689196,0.06811999999627005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub35_AB,001,2026-01-19_11h50.23.588,recognitionstage,,2025.1.1,60.024081658009266,2026-01-19 12h31.22.309769 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06814999999187421,0.08866419999685604,0.08866419999685604,84.70885270000144,space,84.60501090000616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub35_AB,001,2026-01-19_11h50.23.588,recognitionstage,,2025.1.1,60.024081658009266,2026-01-19 12h31.22.309769 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7089130999957,84.72578219999559,84.72578219999559,95.05904710000323,space,10.327979599998798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub35_AB,001,2026-01-19_11h50.23.588,recognitionstage,,2025.1.1,60.024081658009266,2026-01-19 12h31.22.309769 +0530,
abrupt_videos\abrupt_35.mp4,42,0,44,44,0,,,,,,,,,,0,44,44,38,,,,,1559.9900667000038,,,,,,,,,,,,,,,,,,,,,,,,1559.9434992000024,1559.9900667000038,1559.9900667000038,1602.3894617999904,1602.2455220999982,None,0,1,1602.3805923000036,1602.3894617999904,1604.8759825000016,1604.8914989999903,1.0608109999884618,None,1604.876050299994,1604.8914989999903,1604.8914989999903,1626.0440564000019,space,21.146672199989553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub35_AB,001,2026-01-19_11h50.23.588,recognitionstage,,2025.1.1,60.024081658009266,2026-01-19 12h31.22.309769 +0530,
,,,0,0,0,39,frames\Vid39_BB_T.png,frames\Vid39_L.png,['r'],0,[13.02892850000353],[None],3,10.07981930000824,,,,,0,0,0,38,1626.0890031000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626.081214299993,1626.0890031000017,1626.0890031000017,1626.0890031000017,1626.0890031000017,1626.0890031000017,1626.0890031000017,1639.1268435999955,['r'],0,[13.02892850000353],[None],1639.1284236999927,1639.1550927999924,1639.1550927999924,1639.1550927999924,1649.224180099991,3,10.07981930000824,3,10.07981930000824,,,,,,sub35_AB,001,2026-01-19_11h50.23.588,recognitionstage,,2025.1.1,60.024081658009266,2026-01-19 12h31.22.309769 +0530,
,,,1,1,0,20,frames\Vid20_EM_T.png,frames\Vid20_L.png,['l'],1,[5.061915500002215],[None],5,4.415207199999713,,,,,0,1,1,19,1649.2559535999899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649.245278699993,1649.2559535999899,1649.2559535999899,1649.2559535999899,1649.2559535999899,1649.2559535999899,1649.2559535999899,1654.3255986000004,['l'],1,[5.061915500002215],[None],1654.3266007999919,1654.3406638000015,1654.3406638000015,1654.3406638000015,1658.7574925999943,5,4.415207199999713,5,4.415207199999713,,,,,,sub35_AB,001,2026-01-19_11h50.23.588,recognitionstage,,2025.1.1,60.024081658009266,2026-01-19 12h31.22.309769 +0530,
,,,2,2,0,18,frames\Vid18_EM_T.png,frames\Vid18_L.png,['r'],1,[3.4074621999898227],[None],5,2.148775299996487,,,,,0,2,2,17,1658.790353599994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658.7819721999986,1658.790353599994,1658.790353599994,1658.790353599994,1658.790353599994,1658.790353599994,1658.790353599994,1662.209042699993,['r'],1,[3.4074621999898227],[None],1662.2099342000001,1662.2235618999985,1662.2235618999985,1662.2235618999985,1664.3745342000038,5,2.148775299996487,5,2.148775299996487,,,,,,sub35_AB,001,2026-01-19_11h50.23.588,recognitionstage,,2025.1.1,60.024081658009266,2026-01-19 12h31.22.309769 +0530,
,,,3,3,0,11,frames\Vid11_EM_T.png,frames\Vid11_L.png,['r'],1,[3.412890300009167],[None],5,1.6631193999928655,,,,,0,3,3,10,1664.4410044999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664.4337861999957,1664.4410044999968,1664.4410044999968,1664.4410044999968,1664.4410044999968,1664.4410044999968,1664.4410044999968,1667.8605313000007,['r'],1,[3.412890300009167],[None],1667.8617846999987,1667.8884929999913,1667.8884929999913,1667.8884929999913,1669.5413620000036,5,1.6631193999928655,5,1.6631193999928655,,,,,,sub35_AB,001,2026-01-19_11h50.23.588,recognitionstage,,2025.1.1,60.024081658009266,2026-01-19 12h31.22.309769 +0530,
,,,4,4,0,14,frames\Vid14_BB_T.png,frames\Vid14_L.png,['l'],1,[2.0867964000062784],[None],5,1.5653338999982225,,,,,0,4,4,13,1669.6232586999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669.6125001000037,1669.6232586999977,1669.6232586999977,1669.6232586999977,1669.6232586999977,1669.6232586999977,1669.6232586999977,1671.725103299992,['l'],1,[2.0867964000062784],[None],1671.7259514000034,1671.7408596000023,1671.7408596000023,1671.7408596000023,1673.308229000002,5,1.5653338999982225,5,1.5653338999982225,,,,,,sub35_AB,001,2026-01-19_11h50.23.588,recognitionstage,,2025.1.1,60.024081658009266,2026-01-19 12h31.22.309769 +0530,
,,,5,5,0,19,frames\Vid19_BB_T.png,frames\Vid19_L.png,['r'],0,[2.7099712999915937],[None],5,1.69822629999544,,,,,0,5,5,18,1673.359938900001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673.3369897999946,1673.359938900001,1673.359938900001,1673.359938900001,1673.359938900001,1673.359938900001,1673.359938900001,1676.0764786999935,['r'],0,[2.7099712999915937],[None],1676.0775178999902,1676.0903653999994,1676.0903653999994,1676.0903653999994,1677.7910542000027,5,1.69822629999544,5,1.69822629999544,,,,,,sub35_AB,001,2026-01-19_11h50.23.588,recognitionstage,,2025.1.1,60.024081658009266,2026-01-19 12h31.22.309769 +0530,
