path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.006599299988010898,0.00908970000455156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub161_NB,001,2026-02-03_20h22.06.157,recognitionstage,,2025.1.1,59.559190518457456,2026-02-03 20h22.32.390827 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00911039998754859,0.02571340001304634,0.02571340001304634,5.062027400010265,space,5.032974300003843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub161_NB,001,2026-02-03_20h22.06.157,recognitionstage,,2025.1.1,59.559190518457456,2026-02-03 20h22.32.390827 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06207970000105,5.07679290001397,5.07679290001397,8.395363099989481,space,3.317779300006805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub161_NB,001,2026-02-03_20h22.06.157,recognitionstage,,2025.1.1,59.559190518457456,2026-02-03 20h22.32.390827 +0530,
Trimmed_videos/natural_1.mp4,19,0,44,44,0,,,,,,,,,,0,44,44,0,,,,,1582.1079146999982,,,,,,,,,,,,,,,,,,,,,,,,1582.0576769000036,1582.1079146999982,1582.1079146999982,1601.3407836999977,1601.194892600004,None,0,1,1601.3312486000068,1601.3407836999977,1603.8265249000106,1603.8426883000066,11.10944619998918,0.19206580001628026,1603.8266015000117,1603.8426883000066,1603.8426883000066,1613.2758139999933,space,9.431241099984618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub161_NB,001,2026-02-03_20h22.06.157,recognitionstage,,2025.1.1,59.559190518457456,2026-02-03 20h22.32.390827 +0530,
,,,0,0,0,31,frames\Vid31_EM_T.png,frames\Vid31_L.png,['r'],1,[5.9911782999988645],[None],3,8.630979199981084,,,,,0,0,0,30,1613.306746999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613.2920516000013,1613.306746999995,1613.306746999995,1613.306746999995,1613.306746999995,1613.306746999995,1613.306746999995,1619.3103684000089,['r'],1,[5.9911782999988645],[None],1619.3114858999907,1619.3251903000055,1619.3251903000055,1619.3251903000055,1627.9592694999883,3,8.630979199981084,3,8.630979199981084,,,,,,,,sub161_NB,001,2026-02-03_20h22.06.157,recognitionstage,,2025.1.1,59.559190518457456,2026-02-03 20h22.32.390827 +0530,
,,,1,1,0,19,frames\Vid19_BB_T.png,frames\Vid19_L.png,['l'],1,[4.035602099989774],[None],2,3.448788900015643,,,,,0,1,1,18,1627.9903250999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627.9763056999946,1627.9903250999923,1627.9903250999923,1627.9903250999923,1627.9903250999923,1627.9903250999923,1627.9903250999923,1632.0270460000029,['l'],1,[4.035602099989774],[None],1632.0281216000149,1632.0419953000091,1632.0419953000091,1632.0419953000091,1635.492221099994,2,3.448788900015643,2,3.448788900015643,,,,,,,,sub161_NB,001,2026-02-03_20h22.06.157,recognitionstage,,2025.1.1,59.559190518457456,2026-02-03 20h22.32.390827 +0530,
,,,2,2,0,2,frames\Vid2_BB_T.png,frames\Vid2_L.png,['r'],1,[3.0275904000154696],[None],5,1.1821270000073127,,,,,0,2,2,1,1635.5423573000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635.5330192999972,1635.5423573000007,1635.5423573000007,1635.5423573000007,1635.5423573000007,1635.5423573000007,1635.5423573000007,1638.5768175999983,['r'],1,[3.0275904000154696],[None],1638.5777617999993,1638.5921009999875,1638.5921009999875,1638.5921009999875,1639.775432399998,5,1.1821270000073127,5,1.1821270000073127,,,,,,,,sub161_NB,001,2026-02-03_20h22.06.157,recognitionstage,,2025.1.1,59.559190518457456,2026-02-03 20h22.32.390827 +0530,
,,,3,3,0,18,frames\Vid18_EM_T.png,frames\Vid18_L.png,['l'],1,[4.682944900006987],[None],2,1.8317066000017803,,,,,0,3,3,17,1639.8070354000083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639.8023570000078,1639.8070354000083,1639.8070354000083,1639.8070354000083,1639.8070354000083,1639.8070354000083,1639.8070354000083,1644.4939742000133,['l'],1,[4.682944900006987],[None],1644.4947541000147,1644.508386100002,1644.508386100002,1644.508386100002,1646.3418261999905,2,1.8317066000017803,2,1.8317066000017803,,,,,,,,sub161_NB,001,2026-02-03_20h22.06.157,recognitionstage,,2025.1.1,59.559190518457456,2026-02-03 20h22.32.390827 +0530,
,,,4,4,0,23,frames\Vid23_EM_T.png,frames\Vid23_L.png,['l'],1,[2.6668546999862883],[None],5,1.8975654999958351,,,,,0,4,4,22,1646.3750504000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646.3559345999965,1646.3750504000054,1646.3750504000054,1646.3750504000054,1646.3750504000054,1646.3750504000054,1646.3750504000054,1649.0438839000126,['l'],1,[2.6668546999862883],[None],1649.044954300014,1649.0584192000097,1649.0584192000097,1649.0584192000097,1650.9589974000119,5,1.8975654999958351,5,1.8975654999958351,,,,,,,,sub161_NB,001,2026-02-03_20h22.06.157,recognitionstage,,2025.1.1,59.559190518457456,2026-02-03 20h22.32.390827 +0530,
,,,5,5,0,6,frames\Vid6_BB_T.png,frames\Vid6_L.png,['r'],1,[5.2962249999982305],[None],5,2.6480982000066433,,,,,0,5,5,5,1651.0257372999913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651.003157500003,1651.0257372999913,1651.0257372999913,1651.0257372999913,1651.0257372999913,1651.0257372999913,1651.0257372999913,1656.3271533999941,['r'],1,[5.2962249999982305],[None],1656.3286615000106,1656.3417979000078,1656.3417979000078,1656.3417979000078,1658.992490100005,5,2.6480982000066433,5,2.6480982000066433,,,,,,,,sub161_NB,001,2026-02-03_20h22.06.157,recognitionstage,,2025.1.1,59.559190518457456,2026-02-03 20h22.32.390827 +0530,
