path,duration,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,key_resp_6.started,movie_2.stopped,key_resp_6.stopped,Videos.stopped,movie.key_resp_6.keys,ISI.started,text.started,ISI.stopped,text.stopped,movie.key_resp_6.rt,movie.key_resp_6.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.011773799999900803,0.014122999999926833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub21_NB,001,2026-01-18_14h06.56.009,recognitionstage,,2025.1.1,59.97055445774696,2026-01-18 14h08.20.216490 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014145899999903122,0.03088249999996151,0.03088249999996151,12.932996899999807,space,12.890390799999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub21_NB,001,2026-01-18_14h06.56.009,recognitionstage,,2025.1.1,59.97055445774696,2026-01-18 14h08.20.216490 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.933051199999909,12.948383699999795,12.948383699999795,33.182266100000106,space,20.22081130000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub21_NB,001,2026-01-18_14h06.56.009,recognitionstage,,2025.1.1,59.97055445774696,2026-01-18 14h08.20.216490 +0530,
Trimmed_videos/natural_33.mp4,56,44,44,0,,,,,,,,,,0,44,44,36,,,,,1550.1638625,,,,,,,,,,,,,,,,,,,,,,,,1550.1082757999998,1550.1638625,1550.1638625,1606.4300353999997,1606.4300353999997,1606.2745224,None,1606.4114995,1606.4300353999997,1608.9163313,1550.1638625,2.686117500000364,None,1608.9164301,1608.9316540999998,1608.9316540999998,1646.2663751,space,37.33401520000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub21_NB,001,2026-01-18_14h06.56.009,recognitionstage,,2025.1.1,59.97055445774696,2026-01-18 14h08.20.216490 +0530,
,,0,0,0,12,frames\Vid12_EM_T.png,frames\Vid12_L.png,['l'],1,[14.062457999999879],[None],4,7.9654991000002155,,,,,0,0,0,11,1646.3629904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646.3453301,1646.3629904,1646.3629904,1646.3629904,1646.3629904,1646.3629904,1646.3629904,1660.4325573,['l'],1,[14.062457999999879],[None],1660.4335658999998,1660.4473769,1660.4473769,1660.4473769,1668.4153978999998,4,7.9654991000002155,4,7.9654991000002155,,,,,,,,sub21_NB,001,2026-01-18_14h06.56.009,recognitionstage,,2025.1.1,59.97055445774696,2026-01-18 14h08.20.216490 +0530,
,,1,1,0,17,frames\Vid17_BB_T.png,frames\Vid17_L.png,['r'],1,[7.776796600000125],[None],5,1.531467799999973,,,,,0,1,1,16,1668.4965419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668.4833174999999,1668.4965419,1668.4965419,1668.4965419,1668.4965419,1668.4965419,1668.4965419,1676.2828845,['r'],1,[7.776796600000125],[None],1676.2836468,1676.2973552999997,1676.2973552999997,1676.2973552999997,1677.8313705,5,1.531467799999973,5,1.531467799999973,,,,,,,,sub21_NB,001,2026-01-18_14h06.56.009,recognitionstage,,2025.1.1,59.97055445774696,2026-01-18 14h08.20.216490 +0530,
,,2,2,0,39,frames\Vid39_BB_T.png,frames\Vid39_L.png,['l'],1,[10.375298599999951],[None],5,1.3141433999999208,,,,,0,2,2,38,1677.8819746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677.8735641999997,1677.8819746,1677.8819746,1677.8819746,1677.8819746,1677.8819746,1677.8819746,1688.2664019999997,['l'],1,[10.375298599999951],[None],1688.2674128999997,1688.2807205,1688.2807205,1688.2807205,1689.5988311,5,1.3141433999999208,5,1.3141433999999208,,,,,,,,sub21_NB,001,2026-01-18_14h06.56.009,recognitionstage,,2025.1.1,59.97055445774696,2026-01-18 14h08.20.216490 +0530,
,,3,3,0,3,frames\Vid3_BB_T.png,frames\Vid3_L.png,['l'],1,[13.2479558],[None],4,1.88089889999992,,,,,0,3,3,2,1689.681459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689.662702,1689.681459,1689.681459,1689.681459,1689.681459,1689.681459,1689.681459,1702.9336463,['l'],1,[13.2479558],[None],1702.9347459,1702.9624243999997,1702.9624243999997,1702.9624243999997,1704.8316734999999,4,1.88089889999992,4,1.88089889999992,,,,,,,,sub21_NB,001,2026-01-18_14h06.56.009,recognitionstage,,2025.1.1,59.97055445774696,2026-01-18 14h08.20.216490 +0530,
,,4,4,0,33,frames\Vid33_BB_T.png,frames\Vid33_L.png,['l'],1,[6.950556100000085],[None],4,2.7817760000002636,,,,,0,4,4,32,1704.8831111999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.8597042000001,1704.8831111999998,1704.8831111999998,1704.8831111999998,1704.8831111999998,1704.8831111999998,1704.8831111999998,1711.8492035999998,['l'],1,[6.950556100000085],[None],1711.8501628999998,1711.8640798000001,1711.8640798000001,1711.8640798000001,1714.6485629999997,4,2.7817760000002636,4,2.7817760000002636,,,,,,,,sub21_NB,001,2026-01-18_14h06.56.009,recognitionstage,,2025.1.1,59.97055445774696,2026-01-18 14h08.20.216490 +0530,
,,5,5,0,5,frames\Vid5_EM_T.png,frames\Vid5_L.png,['l'],1,[8.047120699999596],[None],3,2.380987600000026,,,,,0,5,5,4,1714.7143814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714.6975472999998,1714.7143814,1714.7143814,1714.7143814,1714.7143814,1714.7143814,1714.7143814,1722.7665548999998,['l'],1,[8.047120699999596],[None],1722.7672899,1722.7804059,1722.7804059,1722.7804059,1725.1652709999998,3,2.380987600000026,3,2.380987600000026,,,,,,,,sub21_NB,001,2026-01-18_14h06.56.009,recognitionstage,,2025.1.1,59.97055445774696,2026-01-18 14h08.20.216490 +0530,
