path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,text.stopped,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.007000199984759092,0.009385199984535575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub77_NB,001,2026-01-28_14h56.40.055,recognitionstage,,2025.1.1,59.98375639728381,2026-01-28 14h57.10.120766 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009406199998920783,0.026128400000743568,0.026128400000743568,8.39522420000867,space,8.362205599987647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub77_NB,001,2026-01-28_14h56.40.055,recognitionstage,,2025.1.1,59.98375639728381,2026-01-28 14h57.10.120766 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.395278799987864,8.409688199986704,8.409688199986704,16.7282436999958,space,8.314496899984078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub77_NB,001,2026-01-28_14h56.40.055,recognitionstage,,2025.1.1,59.98375639728381,2026-01-28 14h57.10.120766 +0530,
Trimmed_videos/natural_14.mp4,25,0,44,44,0,,,,,,,,,,0,44,44,15,,,,,1510.8426256999956,,,,,,,,,,,,,,,,,,,,,,,,1510.7880145999952,1510.8426256999956,1510.8426256999956,1536.2419586000033,1536.0900434000068,None,0,1,1536.2256967999856,1536.2419586000033,1510.8426256999956,1538.7289578999917,1.3425369000178762,None,1538.729091599991,1538.7440051999874,1538.7440051999874,1567.9108871000062,space,29.164442100009182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub77_NB,001,2026-01-28_14h56.40.055,recognitionstage,,2025.1.1,59.98375639728381,2026-01-28 14h57.10.120766 +0530,
,,,0,0,0,26,frames\Vid26_EM_T.png,frames\Vid26_L.png,['l'],1,[3.110899999999674],[None],4,7.132014000002528,,,,,0,0,0,25,1567.9414281999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567.93329429999,1567.9414281999925,1567.9414281999925,1567.9414281999925,1567.9414281999925,1567.9414281999925,1567.9414281999925,1571.0612473000074,['l'],1,[3.110899999999674],[None],1571.061889899982,1571.0756446000014,1571.0756446000014,1571.0756446000014,1578.2108049999806,4,7.132014000002528,4,7.132014000002528,,,,,,,,sub77_NB,001,2026-01-28_14h56.40.055,recognitionstage,,2025.1.1,59.98375639728381,2026-01-28 14h57.10.120766 +0530,
,,,1,1,0,8,frames\Vid8_BB_T.png,frames\Vid8_L.png,['r'],1,[21.393400500004645],[None],4,3.216375499992864,,,,,0,1,1,7,1578.2749616999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578.2566938999807,1578.2749616999936,1578.2749616999936,1578.2749616999936,1578.2749616999936,1578.2749616999936,1578.2749616999936,1599.676935800002,['r'],1,[21.393400500004645],[None],1599.67768969998,1599.6929203000036,1599.6929203000036,1599.6929203000036,1602.9105681999936,4,3.216375499992864,4,3.216375499992864,,,,,,,,sub77_NB,001,2026-01-28_14h56.40.055,recognitionstage,,2025.1.1,59.98375639728381,2026-01-28 14h57.10.120766 +0530,
,,,2,2,0,35,frames\Vid35_EM_T.png,frames\Vid35_L.png,['l'],1,[3.52687750000041],[None],5,1.8970257999899331,,,,,0,2,2,34,1602.9416717999848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602.9319457999954,1602.9416717999848,1602.9416717999848,1602.9416717999848,1602.9416717999848,1602.9416717999848,1602.9416717999848,1606.4791710999853,['l'],1,[3.52687750000041],[None],1606.4805964999832,1606.492999899987,1606.492999899987,1606.492999899987,1608.39457579999,5,1.8970257999899331,5,1.8970257999899331,,,,,,,,sub77_NB,001,2026-01-28_14h56.40.055,recognitionstage,,2025.1.1,59.98375639728381,2026-01-28 14h57.10.120766 +0530,
,,,3,3,0,31,frames\Vid31_EM_T.png,frames\Vid31_L.png,['r'],1,[2.7696399000124075],[None],5,1.3649763999856077,,,,,0,3,3,30,1608.4266963999835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.4072971999994,1608.4266963999835,1608.4266963999835,1608.4266963999835,1608.4266963999835,1608.4266963999835,1608.4266963999835,1611.2120816999814,['r'],1,[2.7696399000124075],[None],1611.2129813999927,1611.226106099988,1611.226106099988,1611.226106099988,1612.59351169999,5,1.3649763999856077,5,1.3649763999856077,,,,,,,,sub77_NB,001,2026-01-28_14h56.40.055,recognitionstage,,2025.1.1,59.98375639728381,2026-01-28 14h57.10.120766 +0530,
,,,4,4,0,21,frames\Vid21_BB_T.png,frames\Vid21_L.png,['r'],1,[6.75475120000192],[None],5,1.3311595999985002,,,,,0,4,4,20,1612.6256984999927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612.6056905000005,1612.6256984999927,1612.6256984999927,1612.6256984999927,1612.6256984999927,1612.6256984999927,1612.6256984999927,1619.394640399987,['r'],1,[6.75475120000192],[None],1619.3957406999834,1619.4095076000085,1619.4095076000085,1619.4095076000085,1620.744183999981,5,1.3311595999985002,5,1.3311595999985002,,,,,,,,sub77_NB,001,2026-01-28_14h56.40.055,recognitionstage,,2025.1.1,59.98375639728381,2026-01-28 14h57.10.120766 +0530,
,,,5,5,0,28,frames\Vid28_EM_T.png,frames\Vid28_L.png,['r'],1,[4.260169399989536],[None],5,1.29923519998556,,,,,0,5,5,27,1620.7762929000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620.756998900004,1620.7762929000019,1620.7762929000019,1620.7762929000019,1620.7762929000019,1620.7762929000019,1620.7762929000019,1625.0443261000037,['r'],1,[4.260169399989536],[None],1625.0451542999945,1625.0596643000026,1625.0596643000026,1625.0596643000026,1626.3608620000014,5,1.29923519998556,5,1.29923519998556,,,,,,,,sub77_NB,001,2026-01-28_14h56.40.055,recognitionstage,,2025.1.1,59.98375639728381,2026-01-28 14h57.10.120766 +0530,
