path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,text.stopped,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.004740600008517504,0.06476870000187773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06479730000137351,0.07168219999584835,0.07168219999584835,9.475013600007514,space,9.387971999996807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.475061899996945,9.491380799998296,9.491380799998296,17.275251600003685,space,7.768396699990262,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
abrupt_videos\abrupt_3.mp4,27,1,44,44,0,,,,,,,,,,0,44,44,2,,,,,1579.8558554000047,,,,,,,,,,,,,,,,,,,,,,,,1579.809152300004,1579.8558554000047,1579.8558554000047,1568.638712400003,1581.0757494999998,space,1,1,1581.2077583000064,1581.221002899998,1583.7233359000093,1583.7069307000056,1.2191516000020783,None,1583.7069735999976,1583.7233359000093,1583.7233359000093,1618.1252233999985,space,34.39188520000607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
,,,0,0,0,31,frames\Vid31_EM_T.png,frames\Vid31_L.png,['r'],1,[6.655102999997325],[None],5,6.463863600001787,,,,,0,0,0,30,1618.1720413000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618.160069999998,1618.1720413000003,1618.1720413000003,1618.1720413000003,1618.1720413000003,1618.1720413000003,1618.1720413000003,1624.8418669999955,['r'],1,[6.655102999997325],[None],1624.8430998999975,1624.8709780000063,1624.8709780000063,1624.8709780000063,1631.3245180000085,5,6.463863600001787,5,6.463863600001787,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
,,,1,1,0,29,frames\Vid29_BB_T.png,frames\Vid29_L.png,['l'],0,[11.343477699992945],[None],2,1.9617386999889277,,,,,0,1,1,28,1631.3718059999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1631.3540509000013,1631.3718059999956,1631.3718059999956,1631.3718059999956,1631.3718059999956,1631.3718059999956,1631.3718059999956,1642.7270665999968,['l'],0,[11.343477699992945],[None],1642.7285040999996,1642.7544227000035,1642.7544227000035,1642.7544227000035,1644.706994399996,2,1.9617386999889277,2,1.9617386999889277,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
,,,2,2,0,25,frames\Vid25_BB_T.png,frames\Vid25_L.png,['r'],0,[9.007689199992456],[None],4,1.3151654999965103,,,,,0,2,2,24,1644.7393927000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.7306577999989,1644.7393927000085,1644.7393927000085,1644.7393927000085,1644.7393927000085,1644.7393927000085,1644.7393927000085,1653.7587447999977,['r'],0,[9.007689199992456],[None],1653.7596216000093,1653.7727389000065,1653.7727389000065,1653.7727389000065,1655.090514800002,4,1.3151654999965103,4,1.3151654999965103,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
,,,3,3,0,8,frames\Vid8_BB_T.png,frames\Vid8_L.png,['r'],0,[3.5825073000014527],[None],5,0.9808232000068529,,,,,0,3,3,7,1655.1565415000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655.1420230000076,1655.1565415000077,1655.1565415000077,1655.1565415000077,1655.1565415000077,1655.1565415000077,1655.1565415000077,1658.7419822000084,['r'],0,[3.5825073000014527],[None],1658.7431238999998,1658.7560329999978,1658.7560329999978,1658.7560329999978,1659.7411682999955,5,0.9808232000068529,5,0.9808232000068529,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
,,,4,4,0,37,frames\Vid37_BB_T.png,frames\Vid37_L.png,['r'],1,[2.294415399999707],[None],5,1.0825153999903705,,,,,0,4,4,36,1659.7885898999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1659.7781157999998,1659.7885898999957,1659.7885898999957,1659.7885898999957,1659.7885898999957,1659.7885898999957,1659.7885898999957,1662.0920028999972,['r'],1,[2.294415399999707],[None],1662.0931417999964,1662.1064808000083,1662.1064808000083,1662.1064808000083,1663.1900691000046,5,1.0825153999903705,5,1.0825153999903705,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
,,,5,5,0,22,frames\Vid22_EM_T.png,frames\Vid22_L.png,['l'],1,[4.660127000010107],[None],5,1.3826599000021815,,,,,0,5,5,21,1663.2228961000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663.2167928999988,1663.2228961000073,1663.2228961000073,1663.2228961000073,1663.2228961000073,1663.2228961000073,1663.2228961000073,1667.8915474999958,['l'],1,[4.660127000010107],[None],1667.8925506000087,1667.906464300002,1667.906464300002,1667.906464300002,1669.2901583000057,5,1.3826599000021815,5,1.3826599000021815,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
,,,6,6,0,40,frames\Vid40_EM_T.png,frames\Vid40_L.png,['l'],1,[3.3440009000041755],[None],5,1.3320314000011422,,,,,0,6,6,39,1669.3230584999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669.311007700002,1669.3230584999983,1669.3230584999983,1669.3230584999983,1669.3230584999983,1669.3230584999983,1669.3230584999983,1672.6748645000043,['l'],1,[3.3440009000041755],[None],1672.675478899997,1672.689387300008,1672.689387300008,1672.689387300008,1674.023763300007,5,1.3320314000011422,5,1.3320314000011422,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
,,,7,7,0,32,frames\Vid32_EM_T.png,frames\Vid32_L.png,['l'],1,[3.3151241000014124],[None],5,1.2313771999906749,,,,,0,7,7,31,1674.056021700002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1674.0490368000028,1674.056021700002,1674.056021700002,1674.056021700002,1674.056021700002,1674.056021700002,1674.056021700002,1677.3760065000097,['l'],1,[3.3151241000014124],[None],1677.3767385999963,1677.389317299996,1677.389317299996,1677.389317299996,1678.623185000004,5,1.2313771999906749,5,1.2313771999906749,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
,,,8,8,0,12,frames\Vid12_EM_T.png,frames\Vid12_L.png,['r'],1,[4.336891300001298],[None],5,1.1301805999974022,,,,,0,8,8,11,1678.6900984999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678.6828740000055,1678.6900984999957,1678.6900984999957,1678.6900984999957,1678.6900984999957,1678.6900984999957,1678.6900984999957,1683.0427447999973,['r'],1,[4.336891300001298],[None],1683.0437974000088,1683.0712912000017,1683.0712912000017,1683.0712912000017,1684.190288800004,5,1.1301805999974022,5,1.1301805999974022,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
,,,9,9,0,7,frames\Vid7_EM_T.png,frames\Vid7_L.png,['r'],0,[4.263386000005994],[None],3,1.431179000006523,,,,,0,9,9,6,1684.2596373999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684.2470328000054,1684.2596373999986,1684.2596373999986,1684.2596373999986,1684.2596373999986,1684.2596373999986,1684.2596373999986,1688.525111199997,['r'],0,[4.263386000005994],[None],1688.526149600002,1688.5399775999977,1688.5399775999977,1688.5399775999977,1689.9741497000068,3,1.431179000006523,3,1.431179000006523,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
,,,10,10,0,23,frames\Vid23_EM_T.png,frames\Vid23_L.png,['l'],1,[5.7458313000097405],[None],4,2.8634407999925315,,,,,0,10,10,22,1690.0252471999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.0040200000076,1690.0252471999993,1690.0252471999993,1690.0252471999993,1690.0252471999993,1690.0252471999993,1690.0252471999993,1695.7762737000012,['l'],1,[5.7458313000097405],[None],1695.7776942000055,1695.789287599997,1695.789287599997,1695.789287599997,1698.6573255999974,4,2.8634407999925315,4,2.8634407999925315,,,,,,sub228_AB,001,2026-02-02_11h58.22.729,recognitionstage,,2025.1.1,59.71086803501898,2026-02-02 11h59.17.667934 +0530,
