path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,text_6.stopped,key_resp_4.stopped,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.02009780000662431,0.022560899989912286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub159_NB,001,2026-02-03_17h52.27.058,recognitionstage,,2025.1.1,59.65341366990789,2026-02-03 17h53.22.922314 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0225812999997288,0.03943629999412224,0.03943629999412224,9.891225600003963,space,9.847939200000837,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub159_NB,001,2026-02-03_17h52.27.058,recognitionstage,,2025.1.1,59.65341366990789,2026-02-03 17h53.22.922314 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.891272499982733,9.907672500004992,9.907672500004992,18.141621499991743,space,8.227682299999287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub159_NB,001,2026-02-03_17h52.27.058,recognitionstage,,2025.1.1,59.65341366990789,2026-02-03 17h53.22.922314 +0530,
Trimmed_videos/natural_8.mp4,25,0,44,44,0,,,,,,,,,,0,44,44,9,,,,,1534.2385277999856,,,,,,,,,,,,,,,,,,,,,,,,1534.1923954999947,1534.2385277999856,1534.2385277999856,1559.4539104999858,1559.2975835999823,None,0,1,1559.4335598000034,1559.4539104999858,1561.9388722000003,1410.2215357999958,16.017047999979695,None,1561.93893080001,1561.9556608999847,1561.9556608999847,1595.290747299994,space,33.32317509999848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub159_NB,001,2026-02-03_17h52.27.058,recognitionstage,,2025.1.1,59.65341366990789,2026-02-03 17h53.22.922314 +0530,
,,,0,0,0,23,frames\Vid23_EM_T.png,frames\Vid23_L.png,['r'],1,[4.91749439999694],[None],4,7.798558999988018,,,,,0,0,0,22,1595.337121699995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.3148287000076,1595.337121699995,1595.337121699995,1595.337121699995,1595.337121699995,1595.337121699995,1595.337121699995,1600.2571103000082,['r'],1,[4.91749439999694],[None],1600.2580011999817,1600.2713279000018,1600.2713279000018,1600.2713279000018,1608.071947199991,4,7.798558999988018,4,7.798558999988018,,,,,,,,sub159_NB,001,2026-02-03_17h52.27.058,recognitionstage,,2025.1.1,59.65341366990789,2026-02-03 17h53.22.922314 +0530,
,,,1,1,0,25,frames\Vid25_BB_T.png,frames\Vid25_L.png,['r'],1,[6.294720100006089],[None],5,1.6317379999964032,,,,,0,1,1,24,1608.103813499998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.086033700005,1608.103813499998,1608.103813499998,1608.103813499998,1608.103813499998,1608.103813499998,1608.103813499998,1614.406339100009,['r'],1,[6.294720100006089],[None],1614.4071697999898,1614.4217162999848,1614.4217162999848,1614.4217162999848,1616.0558875999996,5,1.6317379999964032,5,1.6317379999964032,,,,,,,,sub159_NB,001,2026-02-03_17h52.27.058,recognitionstage,,2025.1.1,59.65341366990789,2026-02-03 17h53.22.922314 +0530,
,,,2,2,0,34,frames\Vid34_BB_T.png,frames\Vid34_L.png,['l'],1,[14.630165299982764],[None],3,2.664829399989685,,,,,0,2,2,33,1616.0884444999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616.066056199983,1616.0884444999974,1616.0884444999974,1616.0884444999974,1616.0884444999974,1616.0884444999974,1616.0884444999974,1630.7232658999856,['l'],1,[14.630165299982764],[None],1630.7242355000053,1630.7386389999883,1630.7386389999883,1630.7386389999883,1633.4060231999902,3,2.664829399989685,3,2.664829399989685,,,,,,,,sub159_NB,001,2026-02-03_17h52.27.058,recognitionstage,,2025.1.1,59.65341366990789,2026-02-03 17h53.22.922314 +0530,
,,,3,3,0,1,frames\Vid1_EM_T.png,frames\Vid1_L.png,['l'],1,[9.886409500002628],[None],4,1.6651820999977645,,,,,0,3,3,0,1633.4722720999853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633.4530089999898,1633.4722720999853,1633.4722720999853,1633.4722720999853,1633.4722720999853,1633.4722720999853,1633.4722720999853,1643.3738161000074,['l'],1,[9.886409500002628],[None],1643.3747376999818,1643.3887326999975,1643.3887326999975,1643.3887326999975,1645.0555376999837,4,1.6651820999977645,4,1.6651820999977645,,,,,,,,sub159_NB,001,2026-02-03_17h52.27.058,recognitionstage,,2025.1.1,59.65341366990789,2026-02-03 17h53.22.922314 +0530,
,,,4,4,0,35,frames\Vid35_EM_T.png,frames\Vid35_L.png,['l'],1,[9.6876290999935],[None],5,1.664461600012146,,,,,0,4,4,34,1645.0869878999947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645.0779788999935,1645.0869878999947,1645.0869878999947,1645.0869878999947,1645.0869878999947,1645.0869878999947,1645.0869878999947,1654.7903635999828,['l'],1,[9.6876290999935],[None],1654.7915123999992,1654.805009600008,1654.805009600008,1654.805009600008,1656.4728455999866,5,1.664461600012146,5,1.664461600012146,,,,,,,,sub159_NB,001,2026-02-03_17h52.27.058,recognitionstage,,2025.1.1,59.65341366990789,2026-02-03 17h53.22.922314 +0530,
,,,5,5,0,29,frames\Vid29_BB_T.png,frames\Vid29_L.png,['r'],1,[7.974023999995552],[None],5,1.6805942000064533,,,,,0,5,5,28,1656.5046863000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656.4842730000091,1656.5046863000025,1656.5046863000025,1656.5046863000025,1656.5046863000025,1656.5046863000025,1656.5046863000025,1664.4908111999976,['r'],1,[7.974023999995552],[None],1664.4917732999893,1664.5049825999886,1664.5049825999886,1664.5049825999886,1666.1898457999923,5,1.6805942000064533,5,1.6805942000064533,,,,,,,,sub159_NB,001,2026-02-03_17h52.27.058,recognitionstage,,2025.1.1,59.65341366990789,2026-02-03 17h53.22.922314 +0530,
,,,6,6,0,17,frames\Vid17_BB_T.png,frames\Vid17_L.png,['r'],0,[7.016337299981387],[None],4,1.7646192000247538,,,,,0,6,6,16,1666.2382798999897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666.216122199985,1666.2382798999897,1666.2382798999897,1666.2382798999897,1666.2382798999897,1666.2382798999897,1666.2382798999897,1673.257858099998,['r'],0,[7.016337299981387],[None],1673.2589181000076,1673.2713428999996,1673.2713428999996,1673.2713428999996,1675.0391663000046,4,1.7646192000247538,4,1.7646192000247538,,,,,,,,sub159_NB,001,2026-02-03_17h52.27.058,recognitionstage,,2025.1.1,59.65341366990789,2026-02-03 17h53.22.922314 +0530,
