path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.020261699974071234,0.022934800013899803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub117_AB,001,2026-01-31_20h03.19.142,recognitionstage,,2025.1.1,60.04531018657123,2026-01-31 20h04.13.548418 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02295610000146553,0.039485400018747896,0.039485400018747896,6.158648499986157,space,6.117986899975222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub117_AB,001,2026-01-31_20h03.19.142,recognitionstage,,2025.1.1,60.04531018657123,2026-01-31 20h04.13.548418 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.158740499988198,6.174502199981362,6.174502199981362,14.174722400028259,space,7.99866609997116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub117_AB,001,2026-01-31_20h03.19.142,recognitionstage,,2025.1.1,60.04531018657123,2026-01-31 20h04.13.548418 +0530,
abrupt_videos\abrupt_40.mp4,49,0,44,44,0,,,,,,,,,,0,44,44,44,,,,,1478.5221443999908,,,,,,,,,,,,,,,,,,,,,,,,1478.4667064999812,1478.5221443999908,1478.5221443999908,1528.455217699986,1528.303363599989,None,0,1,1528.4387813999783,1528.455217699986,1530.9412721000263,1478.5221443999908,2.5740833999589086,None,1530.9413552000187,1530.9568030000082,1530.9568030000082,1567.1241246000282,space,36.1527333999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub117_AB,001,2026-01-31_20h03.19.142,recognitionstage,,2025.1.1,60.04531018657123,2026-01-31 20h04.13.548418 +0530,
,,,0,0,0,4,frames\Vid4_EM_T.png,frames\Vid4_L.png,['r'],0,[10.017142899974715],[None],5,5.864075099991169,,,,,0,0,0,3,1567.1883209000225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567.1770442000125,1567.1883209000225,1567.1883209000225,1567.1883209000225,1567.1883209000225,1567.1883209000225,1567.1883209000225,1577.2082557000103,['r'],0,[10.017142899974715],[None],1577.209277899994,1577.2372773999814,1577.2372773999814,1577.2372773999814,1583.0906436999794,5,5.864075099991169,5,5.864075099991169,,,,,,,,sub117_AB,001,2026-01-31_20h03.19.142,recognitionstage,,2025.1.1,60.04531018657123,2026-01-31 20h04.13.548418 +0530,
,,,1,1,0,17,frames\Vid17_BB_T.png,frames\Vid17_L.png,['r'],1,[6.5547177999978885],[None],4,1.1644187000347301,,,,,0,1,1,16,1583.1547464000178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583.1353317999747,1583.1547464000178,1583.1547464000178,1583.1547464000178,1583.1547464000178,1583.1547464000178,1583.1547464000178,1589.724640499975,['r'],1,[6.5547177999978885],[None],1589.7258452000096,1589.7392822999973,1589.7392822999973,1589.7392822999973,1590.907148999977,4,1.1644187000347301,4,1.1644187000347301,,,,,,,,sub117_AB,001,2026-01-31_20h03.19.142,recognitionstage,,2025.1.1,60.04531018657123,2026-01-31 20h04.13.548418 +0530,
,,,2,2,0,9,frames\Vid9_EM_T.png,frames\Vid9_L.png,['r'],1,[6.168097000045236],[None],5,1.3805755999637768,,,,,0,2,2,8,1590.9574592999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590.9453924000263,1590.9574592999998,1590.9574592999998,1590.9574592999998,1590.9574592999998,1590.9574592999998,1590.9574592999998,1597.1415785999852,['r'],1,[6.168097000045236],[None],1597.1425968999974,1597.1555658000289,1597.1555658000289,1597.1555658000289,1598.5404808999738,5,1.3805755999637768,5,1.3805755999637768,,,,,,,,sub117_AB,001,2026-01-31_20h03.19.142,recognitionstage,,2025.1.1,60.04531018657123,2026-01-31 20h04.13.548418 +0530,
,,,3,3,0,36,frames\Vid36_BB_T.png,frames\Vid36_L.png,['l'],1,[2.886407700018026],[None],5,0.9829580999794416,,,,,0,3,3,35,1598.5751038999879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598.5530448000063,1598.5751038999879,1598.5751038999879,1598.5751038999879,1598.5751038999879,1598.5751038999879,1598.5751038999879,1601.4736546999775,['l'],1,[2.886407700018026],[None],1601.4743621000089,1601.489393899974,1601.489393899974,1601.489393899974,1602.4732599999988,5,0.9829580999794416,5,0.9829580999794416,,,,,,,,sub117_AB,001,2026-01-31_20h03.19.142,recognitionstage,,2025.1.1,60.04531018657123,2026-01-31 20h04.13.548418 +0530,
,,,4,4,0,23,frames\Vid23_EM_T.png,frames\Vid23_L.png,['l'],1,[2.9638103999895975],[None],4,1.0813643000437878,,,,,0,4,4,22,1602.5058380999835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602.4883668000111,1602.5058380999835,1602.5058380999835,1602.5058380999835,1602.5058380999835,1602.5058380999835,1602.5058380999835,1605.474490099994,['l'],1,[2.9638103999895975],[None],1605.4754330000142,1605.4892502999865,1605.4892502999865,1605.4892502999865,1606.5733163999976,4,1.0813643000437878,4,1.0813643000437878,,,,,,,,sub117_AB,001,2026-01-31_20h03.19.142,recognitionstage,,2025.1.1,60.04531018657123,2026-01-31 20h04.13.548418 +0530,
,,,5,5,0,29,frames\Vid29_BB_T.png,frames\Vid29_L.png,['l'],1,[2.7754295999766327],[None],5,1.0152704000356607,,,,,0,5,5,28,1606.6060950999963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606.585948700027,1606.6060950999963,1606.6060950999963,1606.6060950999963,1606.6060950999963,1606.6060950999963,1606.6060950999963,1609.3914298000163,['l'],1,[2.7754295999766327],[None],1609.3919105000095,1609.4055622000014,1609.4055622000014,1609.4055622000014,1610.4239226999925,5,1.0152704000356607,5,1.0152704000356607,,,,,,,,sub117_AB,001,2026-01-31_20h03.19.142,recognitionstage,,2025.1.1,60.04531018657123,2026-01-31 20h04.13.548418 +0530,
