path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.020436599967069924,0.022927999962121248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub109_AB,001,2026-01-31_15h48.29.911,recognitionstage,,2025.1.1,60.7042174918276,2026-01-31 15h49.10.164896 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02294850000180304,0.03959190001478419,0.03959190001478419,17.12354589998722,space,17.07383359997766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub109_AB,001,2026-01-31_15h48.29.911,recognitionstage,,2025.1.1,60.7042174918276,2026-01-31 15h49.10.164896 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.123572400014382,17.14013790001627,17.14013790001627,27.009636399976443,space,9.861373299965635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub109_AB,001,2026-01-31_15h48.29.911,recognitionstage,,2025.1.1,60.7042174918276,2026-01-31 15h49.10.164896 +0530,
abrupt_videos\abrupt_37.mp4,39,1,44,44,0,,,,,,,,,,0,44,44,40,,,,,1567.3057901000138,,,,,,,,,,,,,,,,,,,,,,,,1567.2507245999877,1567.3057901000138,1567.3057901000138,1564.0384729999932,1574.9076922999811,space,1,1,1575.017424599966,1575.0382687000092,1577.5246389000094,1481.472680900013,7.59979479998583,None,1577.5247375000035,1577.5404120999738,1577.5404120999738,1605.9753124999697,space,28.421488200023305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub109_AB,001,2026-01-31_15h48.29.911,recognitionstage,,2025.1.1,60.7042174918276,2026-01-31 15h49.10.164896 +0530,
,,,0,0,0,11,frames\Vid11_EM_T.png,frames\Vid11_L.png,['l'],1,[3.115168899996206],[None],5,4.881187000020873,,,,,0,0,0,10,1606.0385803999961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606.0269274999737,1606.0385803999961,1606.0385803999961,1606.0385803999961,1606.0385803999961,1606.0385803999961,1606.0385803999961,1609.1587535999715,['l'],1,[3.115168899996206],[None],1609.1598692999687,1609.1874208999798,1609.1874208999798,1609.1874208999798,1614.056427399977,5,4.881187000020873,5,4.881187000020873,,,,,,sub109_AB,001,2026-01-31_15h48.29.911,recognitionstage,,2025.1.1,60.7042174918276,2026-01-31 15h49.10.164896 +0530,
,,,1,1,0,7,frames\Vid7_EM_T.png,frames\Vid7_L.png,['r'],0,[4.135008199955337],[None],4,3.0149810999864712,,,,,0,1,1,6,1614.1386137999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.1183627999853,1614.1386137999943,1614.1386137999943,1614.1386137999943,1614.1386137999943,1614.1386137999943,1614.1386137999943,1618.2749202999985,['r'],0,[4.135008199955337],[None],1618.2759024999687,1618.2894666999928,1618.2894666999928,1618.2894666999928,1621.3065802999772,4,3.0149810999864712,4,3.0149810999864712,,,,,,sub109_AB,001,2026-01-31_15h48.29.911,recognitionstage,,2025.1.1,60.7042174918276,2026-01-31 15h49.10.164896 +0530,
,,,2,2,0,34,frames\Vid34_BB_T.png,frames\Vid34_L.png,['r'],1,[8.0040932999691],[None],4,1.913664299994707,,,,,0,2,2,33,1621.3415111000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1621.3186898999847,1621.3415111000068,1621.3415111000068,1621.3415111000068,1621.3415111000068,1621.3415111000068,1621.3415111000068,1629.3588346999604,['r'],1,[8.0040932999691],[None],1629.3596997999703,1629.3724365999806,1629.3724365999806,1629.3724365999806,1631.2906074000057,4,1.913664299994707,4,1.913664299994707,,,,,,sub109_AB,001,2026-01-31_15h48.29.911,recognitionstage,,2025.1.1,60.7042174918276,2026-01-31 15h49.10.164896 +0530,
,,,3,3,0,12,frames\Vid12_EM_T.png,frames\Vid12_L.png,['r'],1,[10.05318599997554],[None],4,2.2635382000007667,,,,,0,3,3,11,1631.3566441999865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1631.3348646999802,1631.3566441999865,1631.3566441999865,1631.3566441999865,1631.3566441999865,1631.3566441999865,1631.3566441999865,1641.4248245999916,['r'],1,[10.05318599997554],[None],1641.4263552000048,1641.4395194000099,1641.4395194000099,1641.4395194000099,1643.7074296000064,4,2.2635382000007667,4,2.2635382000007667,,,,,,sub109_AB,001,2026-01-31_15h48.29.911,recognitionstage,,2025.1.1,60.7042174918276,2026-01-31 15h49.10.164896 +0530,
,,,4,4,0,36,frames\Vid36_BB_T.png,frames\Vid36_L.png,['r'],1,[7.523379099962767],[None],3,2.165516800014302,,,,,0,4,4,35,1643.7423224999802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643.7211049000034,1643.7423224999802,1643.7423224999802,1643.7423224999802,1643.7423224999802,1643.7423224999802,1643.7423224999802,1651.274588499975,['r'],1,[7.523379099962767],[None],1651.2755711000063,1651.289533299976,1651.289533299976,1651.289533299976,1653.4572486999677,3,2.165516800014302,3,2.165516800014302,,,,,,sub109_AB,001,2026-01-31_15h48.29.911,recognitionstage,,2025.1.1,60.7042174918276,2026-01-31 15h49.10.164896 +0530,
,,,5,5,0,40,frames\Vid40_EM_T.png,frames\Vid40_L.png,['l'],0,[7.855449000024237],[None],2,2.113793500000611,,,,,0,5,5,39,1653.4743981999927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.4652439999627,1653.4743981999927,1653.4743981999927,1653.4743981999927,1653.4743981999927,1653.4743981999927,1653.4743981999927,1661.3421546999598,['l'],0,[7.855449000024237],[None],1661.3435754000093,1661.356296999962,1661.356296999962,1661.356296999962,1663.4735239999718,2,2.113793500000611,2,2.113793500000611,,,,,,sub109_AB,001,2026-01-31_15h48.29.911,recognitionstage,,2025.1.1,60.7042174918276,2026-01-31 15h49.10.164896 +0530,
