term,post_mean,post_sd,OR,z_approx,p_approx
Intercept,1.8205140964501878,0.03700125982765569,6.175032196139641,49.20140840959931,0.0
"C(condition, Treatment('NB'))[T.AB]",-0.33363315461665005,0.07375682056553154,0.7163165114390017,-4.52342104850118,6.084802341543849e-06
"C(target_type, Treatment('BB'))[T.EM]",0.25249498908748214,0.07425159312613085,1.2872330459264512,3.4005329509707627,0.0006725462958780959
"C(condition, Treatment('NB'))[T.AB]:C(target_type, Treatment('BB'))[T.EM]",0.11349531623246206,0.08875802260551842,1.1201866421862623,1.2787048753540577,0.2010010022172668
