term,coef,p,OR
const,2.711170287967991,2.4572747550041145e-10,15.046874391046018
age,-0.03394920297845283,0.08222764200216258,0.9666206048381161
condition_AB,-0.338637357262724,0.0005389651614492629,0.7127408725296503
target_type_EM,0.24638445600883674,0.021481711367179992,1.279391348694384
gender_Male,-0.24845621635103135,0.006397311707293862,0.7800040115093407
condition_AB:target_type_EM,0.10884057939801525,0.4631104311637826,1.1149845846583784
