term,post_mean,post_sd,OR,z_approx,p_approx
Intercept,1.833268527376537,0.03707848890880107,6.254295623190664,49.44291370356753,0.0
"C(condition, Treatment('NB'))[T.AB]",-0.2968504686863237,0.07390897689767764,0.7431551290167303,-4.0164332013050945,5.908560136047569e-05
"C(target_type, Treatment('BB'))[T.EM]",0.3246871984211143,0.07440722475615004,1.383597786712523,4.363651506761482,1.2790928306083416e-05
"C(gender, Treatment('Female'))[T.Male]",-0.25390577574415046,0.08822846246598468,0.7757648944727781,-2.877821608214475,0.0040043151027362445
age,-0.03783804344854094,0.019127645178045518,0.9628688711857768,-1.9781861853005824,0.04790770660650767
movie_duration,0.018248961258453666,0.004054246055949693,1.0184164910820657,4.501197264944717,6.757175630811574e-06
