term,post_mean,post_sd,OR,z_approx,p_approx
Intercept,1.8022369252679926,0.03699375446723448,6.063195220698492,48.717329485014595,0.0
"C(condition, Treatment('NB'))[T.AB]",-0.2816249538130729,0.05112499387482881,0.7545566250569383,-5.508557213768779,3.6178665840935764e-08
"C(target_type, Treatment('BB'))[T.EM]",0.31294507159213825,0.05616896629801853,1.3674464173101466,5.571494229246267,2.525637321504348e-08
