variable,VIF
const,164.3656686174086
gender_Male,1.091815150809118
age,1.090451786639218
vision_Normal,1.063269728892162
condition_AB,1.0501773929505025
vision_Uncorrected vision difficulty,1.0252664742174635
handedness_Right handed,1.0172069965587258
movie_duration,1.0017086019494992
target_type_EM,1.001593298448144
