term,coef,se,z_or_t,p,OR,OR_ci_low,OR_ci_high,stable
Intercept,1.7626028849365991,0.08485840878539257,20.771104598416787,7.90200947079589e-96,5.82758620689655,4.934658445894141,6.882089484241368,True
"C(condition, Treatment('NB'))[T.AB]",-0.3233861223623666,0.11843926894701533,-2.7303961366650764,0.00632582625199509,0.7236943658348338,0.5737722009706517,0.9127900136240151,True
"C(target_type, Treatment('BB'))[T.EM]",0.24587653520688646,0.10071401905871073,2.4413337637092405,0.014633123621614336,1.2787416842175647,1.0496750972691942,1.5577965974515489,True
"C(condition, Treatment('NB'))[T.AB]:C(target_type, Treatment('BB'))[T.EM]",0.10838291006599067,0.13992937409823197,0.7745543833413038,0.4386030211540076,1.1144744071635018,0.8471532876534165,1.4661493053552097,True
