model,term,coef,se,p,OR,OR_ci_low,OR_ci_high,qic,qic_delta_vs_main,stable,description
M1_core_interaction,"C(condition, Treatment('NB'))[T.AB]:C(target_type, Treatment('BB'))[T.EM]",0.10838291006599067,0.13992937409823197,0.4386030211540076,1.1144744071635018,0.8471532876534165,1.4661493053552097,4930.403371567475,-0.3114385930775825,True,Condition × target_type interaction. The interaction term tests whether the BB-vs-EM accuracy difference is moderated by condition (NB vs AB).
M1_demo_interaction,"C(condition, Treatment('NB'))[T.AB]:C(target_type, Treatment('BB'))[T.EM]",0.10862616825783,0.140451205598587,0.4392806104925395,1.1147455451695731,0.8464931781756778,1.4680066685871302,4909.072099800127,-0.2996532885827037,True,Interaction + demographics.
M1_stim_interaction,"C(condition, Treatment('NB'))[T.AB]:C(target_type, Treatment('BB'))[T.EM]",0.11513359432922227,0.14090228203101313,0.4138617944688793,1.122023323513036,0.8512666997542085,1.4788976696383629,4889.54946962362,-0.35105016465331573,True,Interaction + demographics + stimulus duration.
M1_movieFE_interaction,"C(condition, Treatment('NB'))[T.AB]:C(target_type, Treatment('BB'))[T.EM]",,,,,,,,,False,Interaction + movie fixed effects.
