participant_id,condition,age,gender,n_trials,accuracy,rt_mean,confidence_mean
sub140_AB,AB,23.0,Male,40,0.775,3.473966840000867,4.675
sub109_AB,AB,22.0,Male,40,0.775,5.857310919990414,3.675
sub148_AB,AB,23.0,Female,40,0.775,5.90549338750061,3.625
sub141_AB,AB,22.0,Male,80,0.7625,7.181578419998732,4.05
sub104_AB,AB,23.0,Male,40,0.75,5.844686734999414,3.575
sub130_AB,AB,24.0,Male,40,0.75,5.022419130000344,3.2
sub160_NB,NB,22.0,Male,40,0.75,3.874103595002089,4.375
test6,AB,22.0,Male,40,0.725,5.3990896449988215,3.8
sub175_NB,NB,22.0,Male,40,0.725,7.366088045001379,3.0
sub105_AB,AB,23.0,Female,40,0.725,4.792938405003224,4.475
SUB77_NB,NB,23.0,Male,40,0.725,4.972529069998563,3.675
sub65_NB,NB,20.0,Male,40,0.725,12.179665147500781,3.4
sub182_NB,NB,20.0,Male,80,0.7125,4.600074637496436,4.05
test2,AB,22.0,Male,40,0.7,5.681566512498466,3.45
sub125_AB,AB,22.0,Female,40,0.7,4.347458812499918,3.725
sub116_AB,AB,20.0,Male,40,0.7,3.328212985006394,3.7
sub151_nb,NB,25.0,Male,40,0.7,4.893822125003498,4.225
sub16_NB,NB,21.0,Female,40,0.675,6.249812934998772,3.875
sub95_AB,AB,23.0,Male,40,0.675,4.408705537502828,3.625
sub228_AB,AB,22.0,Male,40,0.6,5.7874037849993325,4.275
sub138_AB,AB,26.0,Male,40,0.575,3.8725640200009366,4.425
