participant_id,condition,accuracy,rt_mean,confidence_mean
sub142_AB,AB,0.575,3.8725640200009366,4.425
sub132_AB,AB,0.6,5.7874037849993325,4.275
sub176_NB,NB,0.65,6.219046717489254,4.0
sub16_NB,NB,0.675,6.249812934998772,3.875
sub94_AB,AB,0.675,4.408705537502828,3.625
sub117_AB,AB,0.7,3.328212985006394,3.7
sub128_AB,AB,0.7,4.347458812499918,3.725
sub138_AB,AB,0.7,5.681566512498466,3.45
sub153_NB,NB,0.7,4.893822125003498,4.225
sub106_AB,AB,0.725,4.792938405003224,4.475
