condition,N,age_mean,age_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,rt_mean_mean,rt_mean_std,rt_mean_min,rt_mean_max,confidence_mean_mean,confidence_mean_std
AB,81,22.099,1.744,0.84,0.082,0.575,0.975,5.572,1.467,3.251,11.633,4.081,0.457
NB,89,22.236,2.19,0.871,0.072,0.65,1.0,5.802,1.668,2.981,12.18,4.201,0.414
