participant_id,condition,accuracy,rt_mean,confidence_mean
sub45_NB,NB,1.0,4.766933889997745,4.625
sub100_AB,AB,0.975,9.482880237499193,4.125
sub118_AB,AB,0.975,3.2507926425038023,4.9
sub168_NB,NB,0.975,6.2600108124970575,4.625
sub17_NB,NB,0.975,5.914260652501253,4.325
sub46_NB,NB,0.975,6.539318437497423,4.575
sub64_NB,NB,0.975,7.0455133599991315,3.55
sub74_NB,NB,0.975,5.044551855001191,4.625
sub90_AB,AB,0.975,4.950023740000324,4.7
sub91_AB,AB,0.975,6.220674327498273,4.775
